model,semantics,planning_scale,relevant_property,sharpness,category,empirical_proportion,model_proportion,condition_n,summary_type,signed_residual,abs_residual
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,first,sharp,three_adjectives,0.18899204244031828,0.3503762,1508,length,0.16138414631471712,0.16138414631471712
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,first,sharp,two_adjectives,0.3395225464190981,0.4290347,1508,length,0.0895121635113218,0.0895121635113218
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,second,blurred,one_adjective,0.6884185773074663,0.3322571,1701,length,-0.3561614853084123,0.3561614853084123
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,second,blurred,three_adjectives,0.0411522633744856,0.24028061,1701,length,0.1991283499286989,0.1991283499286989
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,second,blurred,two_adjectives,0.2704291593180482,0.42746228,1701,length,0.15703312047855217,0.15703312047855217
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,second,sharp,one_adjective,0.7452018530774321,0.29098803,1511,length,-0.45421382502796315,0.45421382502796315
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,second,sharp,three_adjectives,0.02382528127068167,0.27872053,1511,length,0.2548952466166627,0.2548952466166627
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,second,sharp,two_adjectives,0.23097286565188616,0.4302914,1511,length,0.1993185486089781,0.1993185486089781
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,both,blurred,one_adjective,0.05972797161442933,0.22746906,1691,length,0.16774108523028197,0.16774108523028197
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,both,blurred,three_adjectives,0.2891780011827321,0.3202578,1691,length,0.031079811555686454,0.031079811555686454
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,both,blurred,two_adjectives,0.6510940272028385,0.45227313,1691,length,-0.19882089678596837,0.19882089678596837
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,both,sharp,one_adjective,0.06816677696889478,0.20489655,1511,length,0.13672977738195818,0.13672977738195818
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,both,sharp,three_adjectives,0.27001985440105886,0.34007183,1511,length,0.07005197277217418,0.07005197277217418
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,both,sharp,two_adjectives,0.6618133686300463,0.4550316,1511,length,-0.20678176505529344,0.20678176505529344
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,first,blurred,one_adjective,0.3269230769230769,0.2156873,1664,length,-0.11123577218789321,0.11123577218789321
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,first,blurred,three_adjectives,0.2542067307692308,0.3393587,1664,length,0.08515195663158709,0.08515195663158709
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,first,blurred,two_adjectives,0.4188701923076923,0.44495398,1664,length,0.026083785753983735,0.026083785753983735
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,first,sharp,one_adjective,0.47148541114058357,0.1983151,1508,length,-0.27317031225886207,0.27317031225886207
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,first,sharp,three_adjectives,0.18899204244031828,0.3576575,1508,length,0.16866544972047884,0.16866544972047884
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,first,sharp,two_adjectives,0.3395225464190981,0.44402745,1508,length,0.10450490724186684,0.10450490724186684
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,second,blurred,one_adjective,0.6884185773074663,0.2854955,1701,length,-0.4029230874717271,0.4029230874717271
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,second,blurred,three_adjectives,0.0411522633744856,0.26586223,1701,length,0.22470996311172045,0.22470996311172045
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,second,blurred,two_adjectives,0.2704291593180482,0.44864225,1701,length,0.17821309455768425,0.17821309455768425
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,second,sharp,one_adjective,0.7452018530774321,0.24379486,1511,length,-0.5014069946217742,0.5014069946217742
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,second,sharp,three_adjectives,0.02382528127068167,0.30364951,1511,length,0.2798242336428773,0.2798242336428773
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.5,second,sharp,two_adjectives,0.23097286565188616,0.4525556,1511,length,0.22158273117657454,0.22158273117657454
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,both,blurred,one_adjective,0.05972797161442933,0.16616617,1691,length,0.10643819981711211,0.10643819981711211
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,both,blurred,three_adjectives,0.2891780011827321,0.3544684,1691,length,0.0652904040640025,0.0652904040640025
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,both,blurred,two_adjectives,0.6510940272028385,0.4793654,1691,length,-0.17172861878227574,0.17172861878227574
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,both,sharp,one_adjective,0.06816677696889478,0.15702362,1511,length,0.0888568466168062,0.0888568466168062
