summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n,multi_adjective_total,conditional_multi_proportion
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,sharp,size_initial_multi,0.6950445778026921,502,0.8232244368280721,0.8442953667419497
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,blurred,colour_initial_multi,0.11999309201105973,567,0.2930364416396749,0.40948180826808667
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,blurred,form_initial_multi,0.060346885716581984,567,0.2930364416396749,0.205936454111008
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,blurred,single_adjective,0.706963558360325,567,0.2930364416396749,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,blurred,size_initial_multi,0.1126964639120332,567,0.2930364416396749,0.38458173762090536
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,sharp,colour_initial_multi,0.10676677131560341,504,0.29704867376772975,0.3594251742025524
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,sharp,form_initial_multi,0.05363330004589162,504,0.29704867376772975,0.18055391180715696
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,sharp,single_adjective,0.7029513262322702,504,0.29704867376772975,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,sharp,size_initial_multi,0.13664860240623472,504,0.29704867376772975,0.46002091399029066
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,colour_initial_multi,0.37277621184527265,566,0.8457262120472774,0.4407764670588617
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,form_initial_multi,0.05388949825225489,566,0.8457262120472774,0.06371979191918718
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,single_adjective,0.1542737879527226,566,0.8457262120472774,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,size_initial_multi,0.41906050194974986,566,0.8457262120472774,0.49550374102195116
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,colour_initial_multi,0.26588023341468126,503,0.8649077598657046,0.30740877322682925
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,form_initial_multi,0.04554189052892122,503,0.8649077598657046,0.052655199365990855
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,single_adjective,0.13509224013429527,503,0.8649077598657046,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,size_initial_multi,0.5534856359221021,503,0.8649077598657046,0.6399360274071799
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,colour_initial_multi,0.111324018357748,554,0.8265215137568165,0.13468980117860832
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,form_initial_multi,0.03506460215135081,554,0.8265215137568165,0.042424306648680535
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,single_adjective,0.17347848624318346,554,0.8265215137568165,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,size_initial_multi,0.6801328932477178,554,0.8265215137568165,0.8228858921727112
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,colour_initial_multi,0.05567692253558743,502,0.841535905706932,0.06616107780786376
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,form_initial_multi,0.022139290210056055,502,0.841535905706932,0.026308194409670433
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,single_adjective,0.15846409429306785,502,0.841535905706932,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,size_initial_multi,0.7637196929612886,502,0.841535905706932,0.9075307277824659
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,colour_initial_multi,0.1967262955476414,567,0.2722666756475083,0.7225500332708154
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,form_initial_multi,0.016509938912264533,567,0.2722666756475083,0.060638852966490936
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,single_adjective,0.7277333243524918,567,0.2722666756475083,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,size_initial_multi,0.059030441187602326,567,0.2722666756475083,0.21681111376269363
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,colour_initial_multi,0.17175660500496032,504,0.27400413254000816,0.6268394692181573
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,form_initial_multi,0.017322731494137083,504,0.27400413254000816,0.06322069427769575
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,single_adjective,0.7259958674599919,504,0.27400413254000816,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,size_initial_multi,0.08492479604091077,504,0.27400413254000816,0.3099398365041471
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,colour_initial_multi,0.37119936992452235,566,0.8452580094171788,0.43915510505540345
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,form_initial_multi,0.0541786835521145,566,0.8452580094171788,0.06409721404411384
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,single_adjective,0.15474199058282123,566,0.8452580094171788,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,size_initial_multi,0.41987995594054195,566,0.8452580094171788,0.4967476809004827
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,colour_initial_multi,0.2647205541489818,503,0.8656963373926774,0.30578915806236723
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,form_initial_multi,0.04547385189724957,503,0.8656963373926774,0.0525286407404803
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,single_adjective,0.13430366260732254,503,0.8656963373926774,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,size_initial_multi,0.555501931346446,503,0.8656963373926774,0.6416822011971525
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,colour_initial_multi,0.11086552936921072,554,0.8264463936498074,0.1341472722502896
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,form_initial_multi,0.034775991766836885,554,0.8264463936498074,0.04207894430182802
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,single_adjective,0.17355360635019249,554,0.8264463936498074,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,size_initial_multi,0.6808048725137599,554,0.8264463936498074,0.8237737834478824
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,colour_initial_multi,0.05542238582190322,502,0.8415646054071937,0.06585636499658505
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,form_initial_multi,0.022042455348431883,502,0.8415646054071937,0.02619223195320408
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,single_adjective,0.15843539459280634,502,0.8415646054071937,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,size_initial_multi,0.7640997642368585,502,0.8415646054071937,0.9079514030502108
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,colour_initial_multi,0.1969617444460275,567,0.27263942795228324,0.7224257545042212
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,form_initial_multi,0.01649891278101148,567,0.27263942795228324,0.06051550542388565
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,single_adjective,0.7273605720477169,567,0.27263942795228324,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,size_initial_multi,0.05917877072524431,567,0.27263942795228324,0.2170587400718932
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,colour_initial_multi,0.1716225276334407,504,0.27355610635954924,0.627375970207253
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,form_initial_multi,0.01721185739181233,504,0.27355610635954924,0.0629189295785263
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,single_adjective,0.7264438936404506,504,0.27355610635954924,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,size_initial_multi,0.0847217213342962,504,0.27355610635954924,0.30970510021422065
