model,architecture,architecture_short,semantics,semantics_short,summary_type,relevant_property,sharpness,category,empirical_proportion,model_proportion,signed_residual,abs_residual,n
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,first,blurred,three_adjectives,0.3790613718411551,0.28368564510816163,-0.0953757267329935,0.0953757267329935,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,first,blurred,two_adjectives,0.5216606498194947,0.5427607485416458,0.021100098722151128,0.021100098722151128,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,first,sharp,one_adjective,0.37051792828685265,0.15843539459280634,-0.2120825336940463,0.2120825336940463,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,first,sharp,three_adjectives,0.247011952191235,0.2999893312645169,0.05297737907328187,0.05297737907328187,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,first,sharp,two_adjectives,0.3824701195219123,0.5415752741426768,0.15910515462076452,0.15910515462076452,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,second,blurred,one_adjective,0.6719576719576723,0.7273605720477169,0.05540290009004456,0.05540290009004456,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,second,blurred,three_adjectives,0.045855379188712325,0.04730526442749219,0.001449885238779862,0.001449885238779862,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,second,blurred,two_adjectives,0.2821869488536155,0.22533416352479105,-0.05685278532882446,0.05685278532882446,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,second,sharp,one_adjective,0.7361111111111114,0.7264438936404506,-0.009667217470660794,0.009667217470660794,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,second,sharp,three_adjectives,0.011904761904761706,0.057015857468236716,0.04511109556347501,0.04511109556347501,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,second,sharp,two_adjectives,0.2519841269841269,0.21654024889131251,-0.03544387809281441,0.03544387809281441,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,both,blurred,colour_only,0.008833922261484103,0.044194897738623784,0.03536097547713968,0.03536097547713968,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,both,blurred,redundant_form,0.9134275618374558,0.8530315286440039,-0.06039603319345188,0.06039603319345188,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,both,blurred,size_colour,0.07773851590106004,0.09686525734200176,0.019126741440941716,0.019126741440941716,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,both,blurred,size_only,0.0,0.005908316275370623,0.005908316275370623,0.005908316275370623,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,both,sharp,colour_only,0.0,0.04140223814116831,0.04140223814116831,0.04140223814116831,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,both,sharp,redundant_form,0.7912524850894632,0.836424843534788,0.045172358445324745,0.045172358445324745,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,both,sharp,size_colour,0.20874751491053678,0.11463233872929227,-0.09411517618124451,0.09411517618124451,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,both,sharp,size_only,0.0,0.0075405795947515,0.0075405795947515,0.0075405795947515,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,first,blurred,colour_only,0.005415162454873604,0.01803406505846659,0.012618902603592986,0.012618902603592986,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,first,blurred,redundant_form,0.8935018050541518,0.8273433962170346,-0.06615840883711721,0.06615840883711721,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,selection,first,blurred,size_colour,0.04512635379061363,0.05736044894396001,0.012234095153346378,0.012234095153346378,554
