model,order_planning_scale,summary_type,relevant_property,sharpness,category,baseline_abs_residual,candidate_abs_residual,abs_residual_reduction
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.0,order,second,sharp,colour_initial_multi,0.04908181203515899,0.029631756531159653,0.019450055503999336
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.5,order,second,sharp,colour_initial_multi,0.04908181203515899,0.019490475252539163,0.029591336782619826
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,2.0,order,second,sharp,colour_initial_multi,0.04908181203515899,0.009314930519742748,0.03976688151541624
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,3.0,order,second,sharp,colour_initial_multi,0.04908181203515899,0.010296412115737535,0.038785399919421454
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.0,order,second,sharp,colour_initial_multi,0.048379584793633884,0.048379584793633884,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.25,order,second,sharp,colour_initial_multi,0.048379584793633884,0.04360026224526278,0.004779322548371101
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.5,order,second,sharp,colour_initial_multi,0.048379584793633884,0.038706697088472214,0.00967288770516167
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.75,order,second,sharp,colour_initial_multi,0.048379584793633884,0.03371722778252331,0.014662357011110572
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.0,order,second,sharp,colour_initial_multi,0.048379584793633884,0.02865220775452218,0.019727377039111704
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,order,second,sharp,colour_initial_multi,0.048379584793633884,0.01838573596223317,0.029993848831400716
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,2.0,order,second,sharp,colour_initial_multi,0.048379584793633884,0.008102770126505426,0.04027681466712846
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,order,second,sharp,colour_initial_multi,0.048379584793633884,0.011648571748058334,0.03673101304557555
