model,order_planning_scale,relevant_property,sharpness,utterance_code,utterance_label,human_mean,model_mean,candidate_model_mean,signed_residual,candidate_signed_residual,abs_residual,candidate_abs_residual,utterance_set,order_score
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,6,CD,0.0,0.0025362467655152,0.0025362467655152,0.0025362467655152,0.0025362467655152,0.0025362467655152,0.0025362467655152,CD,0.45
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,2,DCF,0.2051792828685259,0.2371912350597609,0.23719123505976086,0.032011952191235,0.032011952191234955,0.032011952191235,0.032011952191234955,CDF,1.06
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,4,DFC,0.0219123505976095,0.0504223107569721,0.05042231075697211,0.0285099601593625,0.028509960159362607,0.0285099601593625,0.028509960159362607,CDF,1.135
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,7,CDF,0.0179282868525896,0.0151832669322709,0.0151832669322709,-0.0027450199203187,-0.002745019920318701,0.0027450199203187,0.002745019920318701,CDF,0.51
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,9,CFD,0.0019920318725099,0.0031361042317217,0.0031361042317217,0.0011440723592118,0.0011440723592118,0.0011440723592118,0.0011440723592118,CDF,0.335
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,12,FDC,0.0,0.0040207590689872,0.0040207590689872,0.0040207590689872,0.0040207590689872,0.0040207590689872,0.0040207590689872,CDF,0.75
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,14,FCD,0.0,0.0023966633466135,0.0023966633466135,0.0023966633466135,0.0023966633466135,0.0023966633466135,0.0023966633466135,CDF,0.5
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,3,DF,0.2310756972111553,0.2808844621513944,0.2808844621513944,0.049808764940239,0.049808764940239086,0.049808764940239,0.049808764940239086,DF,1.135
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,11,FD,0.0019920318725099,0.0034241731299653,0.0034241731299653,0.0014321412574553,0.0014321412574554004,0.0014321412574553,0.0014321412574554004,DF,0.75
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,5,C,0.0,0.0076823682401371,0.0076823682401371,0.0076823682401371,0.0076823682401371,0.0076823682401371,0.0076823682401371,C,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,8,CF,0.0936254980079681,0.0305856573705179,0.0305856573705179,-0.0630398406374502,-0.0630398406374502,0.0630398406374502,0.0630398406374502,CF,0.135
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,13,FC,0.0099601593625498,0.0098481575705211,0.0098481575705211,-0.0001120017920286,-0.00011200179202870003,0.0001120017920286,0.00011200179202870003,CF,0.3
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,10,F,0.1015936254980079,0.033418326693227,0.033418326693227,-0.0681752988047808,-0.0681752988047809,0.0681752988047808,0.0681752988047809,F,0.3
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,0,D,0.0,0.0088112305854241,0.0088112305854241,0.0088112305854241,0.0088112305854241,0.0088112305854241,0.0088112305854241,D,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,1,DC,0.0,0.0513015873015873,0.0513015873015873,0.0513015873015873,0.0513015873015873,0.0513015873015873,0.0513015873015873,CD,0.45
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,6,CD,0.0,0.0143139329805996,0.0143139329805996,0.0143139329805996,0.0143139329805996,0.0143139329805996,0.0143139329805996,CD,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,2,DCF,0.0264550264550264,0.0156927611837431,0.0156927611837431,-0.0107622652712833,-0.010762265271283301,0.0107622652712833,0.010762265271283301,CDF,0.53
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,4,DFC,0.0141093474426807,0.0021210130142592,0.0021210130142592,-0.0119883344284215,-0.011988334428421501,0.0119883344284215,0.011988334428421501,CDF,0.38
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,7,CDF,0.0052910052910052,0.0186701940035273,0.0186701940035273,0.013379188712522,0.0133791887125221,0.013379188712522,0.0133791887125221,CDF,1.08
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,9,CFD,0.0,0.0103381365906416,0.010338136590641601,0.0103381365906416,0.010338136590641601,0.0103381365906416,0.010338136590641601,CDF,1.18
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,12,FDC,0.0,0.0018266565885613,0.0018266565885613,0.0018266565885613,0.0018266565885613,0.0018266565885613,0.0018266565885613,CDF,0.6000000000000001
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,14,FCD,0.0,0.0019652305366591,0.0019652305366591,0.0019652305366591,0.0019652305366591,0.0019652305366591,0.0019652305366591,CDF,0.8500000000000001
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,3,DF,0.0,0.004610503088433,0.004610503088433,0.004610503088433,0.004610503088433,0.004610503088433,0.004610503088433,DF,0.18000000000000002
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,second,blurred,11,FD,0.0,0.0018387181507748,0.0018387181507748,0.0018387181507748,0.0018387181507748,0.0018387181507748,0.0018387181507748,DF,0.4
