summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,sharp,redundant_form,0.5072948900388757,503
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,sharp,size_colour,0.2547676298229855,503
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,sharp,size_only,0.04918209819564779,503
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,blurred,colour_only,0.09295473623075456,554
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,blurred,redundant_form,0.5971773025026648,554
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,blurred,size_colour,0.2492916892998266,554
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,blurred,size_only,0.06057627196675412,554
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,sharp,colour_only,0.05152792528590404,502
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,sharp,redundant_form,0.602244157408574,502
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,sharp,size_colour,0.27739432699756267,502
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,sharp,size_only,0.06883359030795932,502
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,blurred,colour_only,0.39077216238594903,567
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,blurred,redundant_form,0.4780664135521323,567
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,blurred,size_colour,0.11267551503784437,567
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,blurred,size_only,0.01848590902407431,567
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,sharp,colour_only,0.35786038011501464,504
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,sharp,redundant_form,0.4650566372351317,504
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,sharp,size_colour,0.15198071813472513,504
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,sharp,size_only,0.025102264515128606,504
