model,architecture,architecture_short,semantics,semantics_short,summary_type,relevant_property,sharpness,scope,n_categories,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,order,ALL,ALL,overall,24,0.15592761800850907,0.2101603216505434,0.3463456856114198
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,overinformativeness,ALL,ALL,overall,14,0.2015071404369966,0.27649527509276106,0.21509441194733378
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,selection,ALL,ALL,overall,24,0.16072734190049442,0.20776737433950643,0.40473046125024453
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,length,ALL,ALL,overall,18,0.14115297403598812,0.1633025627811668,0.1521825227286451
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,order,ALL,ALL,overall,24,0.11092891834237899,0.1463502210901668,0.15664157138264093
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,overinformativeness,ALL,ALL,overall,14,0.18148239518912762,0.20106807443334176,0.1248462851857703
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,selection,ALL,ALL,overall,24,0.15538699156208136,0.18977806364417912,0.3211406683131233
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,length,ALL,ALL,overall,18,0.14090069789918125,0.16303088015028763,0.15180373801614233
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,order,ALL,ALL,overall,24,0.11073131229741723,0.14611391272568863,0.15623591392320976
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,overinformativeness,ALL,ALL,overall,14,0.1811580401560902,0.2007410914473614,0.12456706186058515
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,selection,ALL,ALL,overall,24,0.15510757845403492,0.18951306301902449,0.320474195800547
