semantics,summary_type,relevant_property,sharpness,category,global_proportion,incremental_proportion,global_model,incremental_model,delta_incremental_minus_global,abs_delta_incremental_global
context_fixed,selection,both,blurred,size_only,0.02131788892020955,0.03919040769055668,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.017872518770347127,0.017872518770347127
context_fixed,selection,first,sharp,colour_only,0.06716997444291967,0.05152792528590404,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.015642049157015628,0.015642049157015628
context_fixed,selection,both,blurred,size_colour,0.19564365269755893,0.2059760981228928,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.010332445425333875,0.010332445425333875
context_fixed,selection,second,sharp,size_only,0.019557137130084657,0.025102264515128606,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.0055451273850439485,0.0055451273850439485
context_fixed,selection,first,blurred,colour_only,0.09148901536180713,0.09295473623075456,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.0014657208689474316,0.0014657208689474316
context_fixed,selection,second,blurred,size_only,0.017697129393822175,0.01848590902407431,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.0007887796302521351,0.0007887796302521351
context_updating,length,second,blurred,one_adjective,0.22938155940844163,0.43551867361416263,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.206137114205721,0.206137114205721
context_updating,length,second,sharp,one_adjective,0.21501194322774536,0.407055214552981,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.19204327132523563,0.19204327132523563
context_updating,length,both,blurred,one_adjective,0.18803434225498142,0.3217710333023249,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.1337366910473435,0.1337366910473435
context_updating,length,second,sharp,two_adjectives,0.4545868564982037,0.34091595040514167,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.11367090609306202,0.11367090609306202
context_updating,length,second,blurred,two_adjectives,0.45313164374420867,0.3454774371896686,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.10765420655454006,0.10765420655454006
context_updating,length,second,blurred,three_adjectives,0.3174867968473497,0.21900388919616873,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.09848290765118098,0.09848290765118098
context_updating,length,both,sharp,one_adjective,0.17516232474913387,0.27060844052217026,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.09544611577303638,0.09544611577303638
context_updating,length,second,sharp,three_adjectives,0.33040120027405084,0.2520288350418774,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.07837236523217345,0.07837236523217345
context_updating,length,both,blurred,three_adjectives,0.36867758746608625,0.29395795570175803,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.07471963176432822,0.07471963176432822
context_updating,length,both,blurred,two_adjectives,0.4432880702789323,0.38427101099591704,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.05901705928301526,0.05901705928301526
context_updating,length,both,sharp,two_adjectives,0.44452392933125623,0.39375114438176007,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.050772784949496164,0.050772784949496164
context_updating,length,both,sharp,three_adjectives,0.38031374591961,0.3356404150960697,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.0446733308235403,0.0446733308235403
context_updating,length,first,blurred,one_adjective,0.1573170170185823,0.19262023925247115,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.03530322223388885,0.03530322223388885
context_updating,length,first,sharp,two_adjectives,0.4753014764846749,0.4422083328531659,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.033093143631509,0.033093143631509
context_updating,length,first,sharp,three_adjectives,0.38396091018755263,0.4153745776219074,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.03141366743435475,0.03141366743435475
context_updating,length,first,blurred,three_adjectives,0.39247810186210474,0.37188899429182937,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.020589107570275378,0.020589107570275378
context_updating,length,first,blurred,two_adjectives,0.450204881119313,0.43549076645569956,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.014714114663613442,0.014714114663613442
context_updating,length,first,sharp,one_adjective,0.14073761332777238,0.14241708952492668,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.001679476197154306,0.001679476197154306
context_updating,order,second,blurred,size_initial_multi,0.41785314375572974,0.18218952857736043,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.2356636151783693,0.2356636151783693
context_updating,order,second,sharp,size_initial_multi,0.4687273523432319,0.2548690232966916,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.21385832904654029,0.21385832904654029
context_updating,order,second,blurred,single_adjective,0.22938155940844163,0.43551867361416263,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.206137114205721,0.206137114205721
context_updating,order,second,sharp,single_adjective,0.21501194322774536,0.407055214552981,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.19204327132523563,0.19204327132523563
context_updating,order,first,sharp,size_initial_multi,0.599128069137384,0.7798401576352807,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.18071208849789666,0.18071208849789666
context_updating,order,second,blurred,colour_initial_multi,0.20688142162168882,0.35705456257868057,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.15017314095699175,0.15017314095699175
context_updating,order,first,blurred,size_initial_multi,0.528971615424572,0.6738122713361365,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.14484065591156448,0.14484065591156448
context_updating,order,both,blurred,single_adjective,0.18803434225498142,0.3217710333023249,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.1337366910473435,0.1337366910473435
context_updating,order,second,sharp,colour_initial_multi,0.184884279013089,0.3136880186147883,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.1288037396016993,0.1288037396016993
context_updating,order,second,blurred,form_initial_multi,0.1458838752141398,0.025237235229796304,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.12064663998434351,0.12064663998434351
context_updating,order,both,blurred,form_initial_multi,0.14211535779779683,0.03344607885177658,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.10866927894602024,0.10866927894602024
context_updating,order,second,sharp,form_initial_multi,0.13137642541593367,0.024387743535539234,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.10698868188039443,0.10698868188039443
context_updating,order,both,sharp,form_initial_multi,0.1292143046527259,0.028762153072488042,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.10045215158023786,0.10045215158023786
context_updating,order,first,blurred,form_initial_multi,0.1301820627548976,0.03236995554797607,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.09781210720692153,0.09781210720692153
context_updating,order,both,sharp,single_adjective,0.17516232474913387,0.27060844052217026,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.09544611577303638,0.09544611577303638
context_updating,order,first,sharp,colour_initial_multi,0.1512389943301672,0.0576808571739824,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.09355813715618479,0.09355813715618479
context_updating,order,first,sharp,form_initial_multi,0.10889532320467633,0.020061895665810233,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.0888334275388661,0.0888334275388661
context_updating,order,first,blurred,colour_initial_multi,0.18352930480194815,0.10119753386341637,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.08233177093853178,0.08233177093853178
context_updating,order,both,blurred,size_initial_multi,0.46432760905957643,0.4058930733624326,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.05843453569714385,0.05843453569714385
context_updating,order,first,blurred,single_adjective,0.1573170170185823,0.19262023925247115,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.03530322223388885,0.03530322223388885
context_updating,order,both,blurred,colour_initial_multi,0.2055226908876453,0.2388898144834659,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.033367123595820614,0.033367123595820614
context_updating,order,both,sharp,size_initial_multi,0.5108491559703711,0.5224265552737901,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.011577399303419056,0.011577399303419056
context_updating,order,both,sharp,colour_initial_multi,0.18477421462776922,0.1782028511315516,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.006571363496217619,0.006571363496217619
context_updating,order,first,sharp,single_adjective,0.14073761332777238,0.14241708952492668,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.001679476197154306,0.001679476197154306
context_updating,overinformativeness,second,blurred,minimal_length,0.22938155940844163,0.43551867361416263,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.206137114205721,0.206137114205721
context_updating,overinformativeness,second,blurred,over_minimal_length,0.7706184405915584,0.5644813263858374,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.206137114205721,0.206137114205721
context_updating,overinformativeness,second,sharp,minimal_length,0.21501194322774536,0.407055214552981,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.19204327132523563,0.19204327132523563
context_updating,overinformativeness,second,sharp,over_minimal_length,0.7849880567722546,0.5929447854470191,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.19204327132523547,0.19204327132523547
context_updating,overinformativeness,both,blurred,under_minimal_length,0.18803434225498142,0.3217710333023249,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.1337366910473435,0.1337366910473435
context_updating,overinformativeness,both,sharp,under_minimal_length,0.17516232474913387,0.27060844052217026,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,0.09544611577303638,0.09544611577303638
context_updating,overinformativeness,both,blurred,over_minimal_length,0.36867758746608625,0.29395795570175803,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.07471963176432822,0.07471963176432822
context_updating,overinformativeness,both,blurred,minimal_length,0.4432880702789323,0.38427101099591704,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.05901705928301526,0.05901705928301526
context_updating,overinformativeness,both,sharp,minimal_length,0.44452392933125623,0.39375114438176007,principled_salience_stop_regularized_2x2_glob_rec,principled_salience_stop_regularized_2x2_inc_rec,-0.050772784949496164,0.050772784949496164
