variant,semantic_family,semantic_regime,state_encoding,size_context_mode,architecture,conditions,relevant_property,sharpness,human_mean,pred_mean,pred_min,pred_max,signed_residual_mean,abs_residual_mean,first_step_size_mean,continue_after_size_mean,continue_after_colour_mean,chain_dc_mean,chain_cd_mean,n,rmse
target_match_context_fixed,target_match,context_fixed,target_match,static,incremental,erdc,first,blurred,0.8004220183486239,0.8945245574882824,0.8883695337962588,0.9011443997543661,0.0941025391396585,0.1980516236536027,0.5613339272249235,0.52843907724987,0.5891192791985355,0.29661073877119704,0.2582356990961911,545,0.3132688055328819
target_match_context_fixed,target_match,context_fixed,target_match,static,incremental,erdc,first,sharp,0.8430052724077329,0.8962773169556043,0.8914487520316243,0.9005207490137013,0.05327204454787147,0.17246393404141191,0.5690684570920613,0.528906552807964,0.5972036751037902,0.3009503988789579,0.2572917267863663,569,0.28103810661340994
target_match_context_fixed,target_match,context_fixed,target_match,static,incremental,zrdc,second,blurred,0.5622611464968154,0.8083363357496478,0.8008389079721813,0.815391000328282,0.2460751892528325,0.3933759357920349,0.28859426237022273,0.7218808613508473,0.5128066648402313,0.2083040062459439,0.3647519606923868,628,0.4875516200622121
target_match_context_fixed,target_match,context_fixed,target_match,static,incremental,zrdc,second,sharp,0.5434676007005254,0.810166698849958,0.8056739945699068,0.815391000328282,0.26669909814943266,0.42048966296296714,0.29269972592501176,0.7204787208584604,0.5160852361023505,0.2108706839979134,0.3649974666567282,571,0.515171488999455
target_match_context_updating,target_match,context_updating,target_match,posterior,global,brdc,both,blurred,0.7456020066889633,0.8801155132819375,0.878930903217432,0.8816410711466606,0.1345135065929743,0.24227484460122037,,,,,,598,0.3612187234406712
target_match_context_updating,target_match,context_updating,target_match,posterior,global,brdc,both,sharp,0.7039198606271777,0.8805900647729379,0.8798206409220891,0.881068517814278,0.17667020414576018,0.2862273103365057,,,,,,574,0.41850724551192303
target_match_context_updating,target_match,context_updating,target_match,posterior,global,erdc,first,blurred,0.8004220183486239,0.8807970779778824,0.8807970779778823,0.8807970779778825,0.08037505962925849,0.20050033658008332,,,,,,545,0.3094321072410784
target_match_context_updating,target_match,context_updating,target_match,posterior,global,erdc,first,sharp,0.8430052724077329,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.03779180557014948,0.1784721572143699,,,,,,569,0.27850409622213806
target_match_context_updating,target_match,context_updating,target_match,posterior,global,zrdc,second,blurred,0.5622611464968154,0.8807970754946848,0.8807970101757931,0.8807970779778825,0.31853592899786953,0.4026363835712281,,,,,,628,0.5278460852026506
target_match_context_updating,target_match,context_updating,target_match,posterior,global,zrdc,second,sharp,0.5434676007005254,0.8807970754842853,0.8807970101757931,0.8807970779778823,0.3373294747837599,0.42662516431040676,,,,,,571,0.555031585465633
target_match_context_updating,target_match,context_updating,target_match,posterior,incremental,brdc,both,blurred,0.7456020066889633,0.8662117743392076,0.858782577792733,0.874272219700609,0.12060976765024448,0.2432657546492541,0.44685315478039256,0.6309742957933137,0.5815727240956164,0.2819528402777164,0.3215702094065646,598,0.35634558592817295
target_match_context_updating,target_match,context_updating,target_match,posterior,incremental,brdc,both,sharp,0.7039198606271777,0.8721544462844099,0.8682786594447345,0.8759894534725567,0.16823458565723212,0.2873373755033007,0.46817062592181174,0.635405142139751,0.6058232792011875,0.2974956257872741,0.32212553682569794,574,0.4151746048727503
target_match_context_updating,target_match,context_updating,target_match,posterior,incremental,erdc,first,blurred,0.8004220183486239,0.8945245574882824,0.8883695337962588,0.9011443997543661,0.0941025391396585,0.1980516236536027,0.5613339272249235,0.52843907724987,0.5891192791985355,0.29661073877119704,0.2582356990961911,545,0.3132688055328819
target_match_context_updating,target_match,context_updating,target_match,posterior,incremental,erdc,first,sharp,0.8430052724077329,0.8962773169556043,0.8914487520316243,0.9005207490137013,0.05327204454787147,0.17246393404141191,0.5690684570920613,0.528906552807964,0.5972036751037902,0.3009503988789579,0.2572917267863663,569,0.28103810661340994
target_match_context_updating,target_match,context_updating,target_match,posterior,incremental,zrdc,second,blurred,0.5622611464968154,0.8083363347394997,0.8008389079721813,0.8153909727468484,0.24607518824268446,0.3933759355724375,0.28859426237022273,0.721880856544247,0.5128066648402313,0.2083040047809447,0.3647519606923868,628,0.48755161929435625
target_match_context_updating,target_match,context_updating,target_match,posterior,incremental,zrdc,second,sharp,0.5434676007005254,0.8101666978355795,0.8056739945699068,0.8153909727468484,0.2666990971350542,0.42048966272144844,0.29269972592501176,0.7204787160317304,0.5160852361023505,0.21087068252677893,0.3649974666567282,571,0.5151714884159516
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,global,brdc,both,blurred,0.7456020066889633,0.8801155132819375,0.878930903217432,0.8816410711466606,0.1345135065929743,0.24227484460122037,,,,,,598,0.3612187234406712
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,global,brdc,both,sharp,0.7039198606271777,0.8805900647729379,0.8798206409220891,0.881068517814278,0.17667020414576018,0.2862273103365057,,,,,,574,0.41850724551192303
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,global,erdc,first,blurred,0.8004220183486239,0.8797529226978004,0.8743682249364677,0.8807970779778825,0.07933090434917647,0.2006747142385603,,,,,,545,0.3091648769928834
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,global,erdc,first,sharp,0.8430052724077329,0.8792226031753908,0.872583118440922,0.8807970779778825,0.03621733076765792,0.17916874635595806,,,,,,569,0.27834686118663665
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,global,zrdc,second,blurred,0.5622611464968154,0.8808139901138108,0.8807412366504627,0.8809081127682081,0.31855284361699543,0.4026402051663544,,,,,,628,0.5278572895907185
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,global,zrdc,second,sharp,0.5434676007005254,0.8808302009049223,0.8807223383986816,0.8809961030012365,0.3373626002043968,0.4266292430541372,,,,,,571,0.5550527637989597
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,incremental,brdc,both,blurred,0.7456020066889633,0.8662117743392076,0.858782577792733,0.874272219700609,0.12060976765024448,0.2432657546492541,0.44685315478039256,0.6309742957933137,0.5815727240956164,0.2819528402777164,0.3215702094065646,598,0.35634558592817295
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,incremental,brdc,both,sharp,0.7039198606271777,0.8721544462844099,0.8682786594447345,0.8759894534725567,0.16823458565723212,0.2873373755033007,0.46817062592181174,0.635405142139751,0.6058232792011875,0.2974956257872741,0.32212553682569794,574,0.4151746048727503
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,incremental,erdc,first,blurred,0.8004220183486239,0.894078353996643,0.8875104954514239,0.9011443997543661,0.09365633564801919,0.19809998196902368,0.5613339272249235,0.5260053336565722,0.5891192791985355,0.2952721684539702,0.2582356990961911,545,0.31313763147212
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,incremental,erdc,first,sharp,0.8430052724077329,0.8956188616376705,0.8912098367601594,0.9005207490137013,0.05261358922993752,0.17274332370541942,0.5690684570920613,0.5252605057092513,0.5972036751037902,0.29888125136090726,0.2572917267863663,569,0.2809312713619295
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,incremental,zrdc,second,blurred,0.5622611464968154,0.8083433394889582,0.8008663691095621,0.8153839606031261,0.24608219299214287,0.3933762509986588,0.28859426237022273,0.7219127660678597,0.5128066648402313,0.20831263424487287,0.3647519606923868,628,0.4875554857628589
tmcc_context_updating,tmcc,context_updating,target_match,comparison_class,incremental,zrdc,second,sharp,0.5434676007005254,0.810180346521428,0.8057196926893649,0.8153839606031261,0.26671274582090265,0.42049030552812006,0.29269972592501176,0.7205416734848376,0.5160852361023505,0.21088831972022926,0.3649974666567282,571,0.5151788713657972
