combination,relevant_property,sharpness,category,Fully incremental,Global,Plan-guided,architecture_spread,endpoint_difference,plan_guided_minus_endpoint_midpoint,summary_type
dimension_color,both,blurred,F,0.0938789424860853,0.1244243970315398,0.1247435064935064,0.030864564007421103,-0.0305454545454545,0.015591836734693859,Exact response
dimension_form,second,sharp,CF,0.2213077731092437,0.2029957983193277,0.2332515756302521,0.03025577731092438,0.018311974789916002,0.021099789915966366,Exact response
dimension_form,second,blurred,F,0.5228273148148148,0.5399282407407408,0.5099662037037037,0.029962037037037037,-0.017100925925925936,-0.021411574074074013,Initial adjective
dimension_color,both,sharp,F,0.1006827731092437,0.12890756302521,0.1302993697478991,0.0296165966386554,-0.028224789915966303,0.01550420168067225,Exact response
dimension_color,first,blurred,3,0.2354264705882353,0.2648031309297913,0.2605208728652751,0.029376660341556005,-0.029376660341556005,0.010406072106261821,Response length
dimension_form,both,sharp,2,0.5705718029350104,0.5452589098532494,0.5423993710691823,0.028172431865828074,0.02531289308176099,-0.015515985324947579,Response length
color_form,first,sharp,1,0.8133254716981132,0.8406588050314466,0.8409444444444445,0.027618972746331294,-0.02733333333333343,0.013952306079664578,Response length
dimension_color,second,sharp,CF,0.0914753668763102,0.0639266247379454,0.0809921383647798,0.027548742138364793,0.027548742138364793,0.003291142557651991,Exact response
dimension_form,first,blurred,1,0.1522218992248062,0.1248396317829457,0.1351836240310077,0.027382267441860494,0.027382267441860494,-0.0033471414728682425,Response length
color_form,second,sharp,F,0.6830041928721174,0.7097741090146751,0.7000807127882599,0.026769916142557637,-0.026769916142557637,0.0036915618448636334,Initial adjective
color_form,both,sharp,CFD,0.0311158280922431,0.0043694968553459,0.0104109014675052,0.0267463312368972,0.0267463312368972,-0.0073317610062893,Exact response
color_form,second,blurred,F,0.6265851851851852,0.6532949074074075,0.644538888888889,0.026709722222222232,-0.026709722222222232,0.004598842592592689,Exact response
color_form,both,blurred,DF,0.1391972222222222,0.1128143518518518,0.1132388888888888,0.02638287037037039,0.02638287037037039,-0.012766898148148187,Exact response
dimension_form,second,sharp,F,0.5591565126050421,0.5850709033613446,0.5590504201680672,0.026020483193277433,-0.02591439075630253,-0.013063287815126112,Initial adjective
dimension_form,second,blurred,F,0.4916328703703703,0.4693796296296297,0.4661023148148148,0.0255305555555555,0.022253240740740587,-0.014403935185185235,Exact response
dimension_form,first,blurred,2,0.4683095930232558,0.492342054263566,0.4668764534883721,0.025465600775193886,-0.024032461240310166,-0.013449370155038831,Response length
color_form,both,sharp,DFC,0.0162830188679245,0.0416650943396226,0.0238590146750524,0.0253820754716981,-0.0253820754716981,-0.005115041928721149,Exact response
color_form,both,sharp,DCF,0.111107966457023,0.0859654088050314,0.0987767295597484,0.02514255765199161,0.02514255765199161,0.00024004192872119356,Exact response
dimension_color,second,sharp,C,0.8605393081761006,0.8354392033542978,0.8600136268343815,0.025100104821802804,0.025100104821802804,0.012024371069182416,Initial adjective
color_form,second,sharp,F,0.6417175052410901,0.6667216981132076,0.6609156184486372,0.025004192872117526,-0.025004192872117526,0.0066960167714883445,Exact response
color_form,second,sharp,D,0.2078102725366876,0.1829292452830188,0.1947803983228511,0.024881027253668808,0.024881027253668808,-0.0005893605870020968,Initial adjective
dimension_color,second,blurred,CF,0.1096629629629629,0.084861574074074,0.105099074074074,0.0248013888888889,0.0248013888888889,0.007836805555555534,Exact response
dimension_color,first,sharp,1,0.30788,0.3325984210526316,0.3172542105263157,0.02471842105263161,-0.02471842105263161,-0.002985000000000071,Response length
dimension_color,first,blurred,DFC,0.0562528462998102,0.0808534155597723,0.0688140417457305,0.024600569259962096,-0.024600569259962096,0.0002609108159392498,Exact response
color_form,second,blurred,1,0.6374263888888889,0.6618976851851852,0.6551041666666666,0.024471296296296297,-0.024471296296296297,0.005442129629629533,Response length
dimension_color,first,blurred,2,0.6099786527514232,0.5857163187855787,0.5916370967741935,0.02426233396584443,0.02426233396584443,-0.006210388994307481,Response length
color_form,both,blurred,DCF,0.1467726851851851,0.1226638888888888,0.1400912037037037,0.02410879629629631,0.02410879629629631,0.005372916666666755,Exact response
