combination,relevant_property,sharpness,category,observed_mean,observed_lower,observed_upper,summary_type
dimension_color,both,blurred,CDF,0.05194805194805195,0.02411873840445269,0.08348794063079777,Exact response
dimension_color,both,blurred,CF,0.2764378478664193,0.22407407407407406,0.32838589981447125,Exact response
dimension_color,both,blurred,CFD,0.0037105751391465678,0,0.00929368029739777,Exact response
dimension_color,both,blurred,D,0,0,0,Exact response
dimension_color,both,blurred,DC,0.06679035250463822,0.037037037037037035,0.1038961038961039,Exact response
dimension_color,both,blurred,DCF,0.313543599257885,0.2504638218923933,0.378496251491472,Exact response
dimension_color,both,blurred,DF,0.08163265306122448,0.054003724394785846,0.11131725417439703,Exact response
dimension_color,both,blurred,DFC,0.029684601113172542,0.005555555555555556,0.06307977736549165,Exact response
dimension_color,both,blurred,F,0.11873840445269017,0.0962962962962963,0.1425925925925926,Exact response
dimension_color,both,blurred,FC,0.03710575139146568,0.012962962962962963,0.07037037037037037,Exact response
dimension_color,both,blurred,FCD,0,0,0,Exact response
dimension_color,both,blurred,FD,0.0018552875695732839,0,0.0055762081784386614,Exact response
dimension_color,both,blurred,FDC,0.0037105751391465678,0,0.00927643784786642,Exact response
dimension_color,both,sharp,C,0,0,0,Exact response
dimension_color,both,sharp,CD,0.008403361344537815,0,0.02100840336134454,Exact response
dimension_color,both,sharp,CDF,0.029411764705882353,0.008403361344537815,0.05894736842105263,Exact response
dimension_color,both,sharp,CF,0.20378151260504201,0.14705882352941177,0.2620545073375262,Exact response
dimension_color,both,sharp,CFD,0.004201680672268907,0,0.01263157894736842,Exact response
dimension_color,both,sharp,D,0,0,0,Exact response
dimension_color,both,sharp,DC,0.19747899159663865,0.13836477987421383,0.26260504201680673,Exact response
dimension_color,both,sharp,DCF,0.30462184873949577,0.24579831932773108,0.36554621848739494,Exact response
dimension_color,both,sharp,DF,0.11134453781512606,0.07756813417190776,0.14947368421052631,Exact response
dimension_color,both,sharp,DFC,0.031512605042016806,0.010526315789473684,0.05672268907563025,Exact response
dimension_color,both,sharp,F,0.08403361344537816,0.05485232067510549,0.11554621848739496,Exact response
dimension_color,both,sharp,FC,0.023109243697478993,0.010482180293501049,0.039832285115303984,Exact response
dimension_color,both,sharp,FCD,0.0021008403361344537,0,0.00631578947368421,Exact response
dimension_color,both,sharp,FD,0,0,0,Exact response
dimension_color,both,sharp,FDC,0,0,0,Exact response
dimension_color,first,blurred,C,0.0056925996204933585,0,0.015122873345935728,Exact response
dimension_color,first,blurred,CD,0.0018975332068311196,0,0.0057251908396946565,Exact response
dimension_color,first,blurred,CDF,0.03984819734345351,0.011560137839039574,0.07909604519774012,Exact response
dimension_color,first,blurred,CF,0.08918406072106262,0.05639097744360902,0.12810707456978968,Exact response
dimension_color,first,blurred,CFD,0,0,0,Exact response
dimension_color,first,blurred,D,0.058823529411764705,0.02676864244741874,0.09604791395045634,Exact response
dimension_color,first,blurred,DC,0.04364326375711575,0.02268324000428006,0.06705302579036779,Exact response
dimension_color,first,blurred,DCF,0.3055028462998102,0.23773351746897195,0.3818525519848771,Exact response
dimension_color,first,blurred,DF,0.3510436432637571,0.2808332725149613,0.4215574815147081,Exact response
dimension_color,first,blurred,DFC,0.03415559772296015,0.007561436672967864,0.06792452830188679,Exact response
dimension_color,first,blurred,F,0.03795066413662239,0.024390243902439025,0.053231939163498096,Exact response
dimension_color,first,blurred,FC,0.017077798861480076,0.0018867924528301887,0.038314176245210725,Exact response
dimension_color,first,blurred,FCD,0.003795066413662239,0,0.009523809523809525,Exact response
dimension_color,first,blurred,FD,0.007590132827324478,0.0018832391713747645,0.015209125475285171,Exact response
dimension_color,first,blurred,FDC,0.003795066413662239,0,0.009523809523809525,Exact response
dimension_color,first,sharp,C,0,0,0,Exact response
dimension_color,first,sharp,CD,0,0,0,Exact response
