semantics,rule,support,order,parameter_set,metric,mean,variance,groups,mcse,lower_mc95,upper_mc95
updating,prefix_k0,two,neutral,original_grid,speaker_size_first_given_set,0.4841189105904169,8.797910243554986e-05,24,0.0003908215670660215,0.4833529003189675,0.4848849208618663
updating,prefix_k0,two,stable,fitted_constants,listener_advantage,0.022478921041591358,3.0015525869640093e-05,24,0.0002282767793011921,0.022031498554161023,0.022926343529021693
updating,prefix_k0,two,stable,fitted_constants,speaker_size_first_given_set,0.9941230241261522,6.2306182072756445e-09,24,3.288927712605195e-06,0.9941165778278355,0.9941294704244689
updating,prefix_k05,fifteen,neutral,fitted_constants,listener_advantage,0.014574724609480111,1.462528543057678e-05,24,0.00015934591472389808,0.014262406616621271,0.014887042602338951
updating,prefix_k05,fifteen,neutral,fitted_constants,speaker_size_first_given_set,0.5310804292040018,7.1012414474252495e-06,24,0.00011103397759045527,0.5308628026079245,0.531298055800079
updating,prefix_k05,fifteen,neutral,original_grid,listener_advantage,0.015581798326122028,6.351981583997331e-05,24,0.0003320804993604852,0.014930920547375477,0.01623267610486858
updating,prefix_k05,fifteen,neutral,original_grid,speaker_size_first_given_set,0.48703994482795965,5.892945524022737e-05,24,0.00031985634590278746,0.4864130263899902,0.4876668632659291
updating,prefix_k05,fifteen,stable,fitted_constants,listener_advantage,0.016457663677523063,1.850345439964016e-05,24,0.00017923184085745774,0.016106369269442446,0.01680895808560368
updating,prefix_k05,fifteen,stable,fitted_constants,speaker_size_first_given_set,0.9939441381988859,4.04072593184955e-09,24,2.648612691059001e-06,0.9939389469180114,0.9939493294797604
updating,prefix_k05,four,neutral,fitted_constants,listener_advantage,0.02031211050660192,3.1395388633649296e-05,24,0.0002334649503555727,0.019854519203904998,0.020769701809298845
updating,prefix_k05,four,neutral,fitted_constants,speaker_size_first_given_set,0.5395594594075466,1.149757790223232e-05,24,0.00014128366058016443,0.5392825434328095,0.5398363753822837
updating,prefix_k05,four,neutral,original_grid,listener_advantage,-0.01202156103445276,0.00020613960611621498,24,0.0005982317783421647,-0.013194095320003403,-0.010849026748902117
updating,prefix_k05,four,neutral,original_grid,speaker_size_first_given_set,0.48285726181665584,8.688410702075726e-05,24,0.00038838185279142947,0.48209603338518464,0.48361849024812703
updating,prefix_k05,four,stable,fitted_constants,listener_advantage,0.021918913625957645,3.423732636460151e-05,24,0.00024380279472623374,0.021441060148294225,0.022396767103621065
updating,prefix_k05,four,stable,fitted_constants,speaker_size_first_given_set,0.9941236570254516,6.229681722659653e-09,24,3.2886805344081736e-06,0.9941172112116041,0.994130102839299
updating,prefix_k05,two,neutral,fitted_constants,listener_advantage,0.020569060226530943,3.504543701873126e-05,24,0.0002466632777734943,0.020085600202094895,0.021052520250966992
updating,prefix_k05,two,neutral,fitted_constants,speaker_size_first_given_set,0.5395594594075465,1.149757790223232e-05,24,0.00014128366058016443,0.5392825434328093,0.5398363753822836
updating,prefix_k05,two,neutral,original_grid,listener_advantage,-0.022102296529271065,0.0003461367886388048,24,0.0007751979906579655,-0.023621684590960677,-0.020582908467581453
updating,prefix_k05,two,neutral,original_grid,speaker_size_first_given_set,0.48285726181665595,8.688410702075726e-05,24,0.00038838185279142947,0.48209603338518475,0.48361849024812714
updating,prefix_k05,two,stable,fitted_constants,listener_advantage,0.02246540975237235,3.0025478205937537e-05,24,0.00022831462136655345,0.022017913094493906,0.022912906410250795
updating,prefix_k05,two,stable,fitted_constants,speaker_size_first_given_set,0.9941236570254516,6.229681722659658e-09,24,3.288680534408175e-06,0.9941172112116041,0.994130102839299
updating,prefix_k1,fifteen,neutral,fitted_constants,listener_advantage,0.00962246860482192,6.0667811861420544e-06,24,0.00010262848642526628,0.009421316771428398,0.009823620438215443
updating,prefix_k1,fifteen,neutral,fitted_constants,speaker_size_first_given_set,0.5225688895106569,3.7264962624841535e-06,24,8.04338956336989e-05,0.5224112390752149,0.522726539946099
updating,prefix_k1,fifteen,neutral,original_grid,listener_advantage,0.010945108992174197,2.716072237011713e-05,24,0.0002171497913712202,0.010519495401086605,0.01137072258326179
updating,prefix_k1,fifteen,neutral,original_grid,speaker_size_first_given_set,0.4899870582087646,3.550468225400938e-05,24,0.0002482741898741292,0.4895004407966113,0.49047367562091787
updating,prefix_k1,fifteen,stable,fitted_constants,listener_advantage,0.010776442668848979,7.1847503741467374e-06,24,0.00011168493611546663,0.010557540194062664,0.010995345143635293
updating,prefix_k1,fifteen,stable,fitted_constants,speaker_size_first_given_set,0.9937534217701293,2.240147189816765e-09,24,1.972091383979256e-06,0.9937495564710167,0.9937572870692418
