parameter,participant_id,posterior_mean,posterior_q025,posterior_q975
Successive-choice contribution,64,0.10280237393316882,0.0015114187127914644,0.3863701452677584
Successive-choice contribution,65,0.7244897451120427,0.4023887082445737,0.9844893188825629
Successive-choice contribution,66,0.12469344607818132,0.0018837493938234995,0.4351274941770726
Successive-choice contribution,67,0.9260144385517409,0.6798001205770158,0.998934661729212
Successive-choice contribution,68,0.6203041751671531,0.29940323464764096,0.8338045631536569
Successive-choice contribution,69,0.12861360546072811,0.0018469549980772877,0.4750970536716587
Successive-choice contribution,70,0.9693684299220388,0.8717921488897323,0.9994191144367812
Successive-choice contribution,71,0.3135460569589278,0.005269918258866663,0.6538443510684611
Successive-choice contribution,72,0.10947718745505718,0.0010297180096746012,0.4110498720464053
Successive-choice contribution,73,0.821905619035178,0.4446830382203045,0.9969694053434072
Successive-choice contribution,74,0.4537535032661794,0.05858071618284869,0.8451129682164722
Successive-choice contribution,75,0.439556500795916,0.03822465538013044,0.7351592162718399
Successive-choice contribution,76,0.9144240030116081,0.6067589069088414,0.9984952331794886
Successive-choice contribution,77,0.509410538283073,0.09703379948420496,0.8787404112910335
Successive-choice contribution,78,0.10624248034833009,0.0013007647553181195,0.37669322361749413
Successive-choice contribution,79,0.26958464903531537,0.0069600212984472195,0.6408808324885137
Successive-choice contribution,80,0.330588665656249,0.013874962661791501,0.6139823236537304
Successive-choice contribution,81,0.2682467052442751,0.00567572666135575,0.6897418072491609
Successive-choice contribution,82,0.43200771556662176,0.08081591786441136,0.7158484509782018
Successive-choice contribution,83,0.04663092636392273,0.0007454206590580077,0.19994468096793727
Successive-choice contribution,84,0.1367216389810308,0.0018862789432979967,0.5085900074692052
Successive-choice contribution,85,0.12346654031266435,0.0014707436929247333,0.46428265005301145
Successive-choice contribution,86,0.5908917337346655,0.17803016426944732,0.9137921108217509
Successive-choice contribution,87,0.7316454786078604,0.2904368393518216,0.9975635059006297
Successive-choice contribution,88,0.23002667193822698,0.007796787664669953,0.5095069184237343
Successive-choice contribution,89,0.5287706257020495,0.15636835550075298,0.9590357021523053
Successive-choice contribution,90,0.48533259938302137,0.09273684953550403,0.8748847597671167
Successive-choice contribution,91,0.913661561778223,0.6818468345190909,0.9985690047388175
Successive-choice contribution,92,0.15862487145496854,0.0022257904233892326,0.5029163392294917
Successive-choice contribution,93,0.7842623767498158,0.4321003368649679,0.9926796948809035
Successive-choice contribution,94,0.9200486673145849,0.4315696434661858,0.9996134447493535
Successive-choice contribution,95,0.9753800089984412,0.8657682929703766,0.9996425263707207
Successive-choice contribution,96,0.401369231598316,0.025055021597106753,0.7852492314222544
Successive-choice contribution,97,0.9818330129564172,0.898907071806548,0.9996998516311788
Successive-choice contribution,98,0.1590763897228353,0.0018278715419057664,0.5136055530789984
Successive-choice contribution,99,0.9207117008372158,0.7295238245928479,0.9985722812921615
Successive-choice contribution,100,0.5442100312216731,0.10695396126944516,0.8985291624266809
Successive-choice contribution,101,0.6533084966859811,0.23678569969294058,0.9841605022094972
Successive-choice contribution,102,0.1217178853564487,0.00164282896755736,0.40987197623194743
Successive-choice contribution,103,0.9400123000409465,0.750823994001798,0.9990790539934782
Successive-choice contribution,104,0.7798483186276289,0.35462300343528397,0.9967781246711206
Successive-choice contribution,105,0.10420911298061776,0.0015566598808247785,0.3768160154015789
Successive-choice contribution,106,0.17110068604254344,0.0026234715954166457,0.5292095062913738
Successive-choice contribution,107,0.20581864241687067,0.003295156415361764,0.586285083414931
Successive-choice contribution,108,0.21382439161754146,0.0035173665654789766,0.5966210346518442
Successive-choice contribution,109,0.24608255256946093,0.003538827215433898,0.5926623707346735
Successive-choice contribution,110,0.32801771609465613,0.019490263108332236,0.5987430505690586
Successive-choice contribution,111,0.6649328964486094,0.22997923636652803,0.9648427225058792
Successive-choice contribution,112,0.06633831669531096,0.0009064093762010814,0.23698383365502163
Successive-choice contribution,113,0.8461726705982483,0.4257081700360731,0.9984025281645222
Stable-order weighting,1,2.0945022430375797,1.5050408600349259,2.7335156776476066
Stable-order weighting,2,1.553969136926363,1.0724643123860838,2.0466911584367
Stable-order weighting,3,2.487460488085134,2.013234622323244,2.9588391332036004
Stable-order weighting,4,2.3226987640917485,1.8682265135423408,2.796761828997986
Stable-order weighting,5,2.0129028147604204,1.5301260072704208,2.495078078482863
Stable-order weighting,6,3.5458792714756955,3.07041662029548,4.031599702066945
Stable-order weighting,7,2.55385895162068,2.0450524143973077,3.0809895341529296
Stable-order weighting,8,2.7659872658162605,2.2095785915364368,3.3732773285839532
Stable-order weighting,9,1.9802175592324842,1.5202539674894409,2.478741779114396
Stable-order weighting,10,1.7293160787078083,1.2594677199175275,2.2184085609652646
Stable-order weighting,11,1.5481261571280638,1.1223966313773999,1.9865431896325407
Stable-order weighting,12,2.1739482923420295,1.6256405942475884,2.7344391135754926
Stable-order weighting,13,2.500031120625661,1.9668553612713908,3.071158913342315
Stable-order weighting,14,3.3491306335384454,2.790018676805439,3.9178856130400184
Stable-order weighting,15,2.1794866992292397,1.6379203955588024,2.757902039719001
Stable-order weighting,16,1.1368755570149671,0.7769144128869139,1.5250388213742496
Stable-order weighting,17,2.2292823539782547,1.697534636298852,2.784298514102823
Stable-order weighting,18,2.5766037315009056,2.0434616081105097,3.135345270105901
Stable-order weighting,19,2.7151284847840103,2.249309025914079,3.1871059452685255
Stable-order weighting,20,2.3398196189631575,1.8634535407730537,2.8244080819359545
Stable-order weighting,21,2.9508301294195936,2.3342048387657366,3.6275968874541973
Stable-order weighting,22,2.265654656398927,1.6940263802352271,2.848096384730684
Stable-order weighting,23,2.343187474030868,1.8342597012994308,2.867444066419948
Stable-order weighting,24,2.4635165073924363,1.9561426366320032,2.9991946497087705
Stable-order weighting,25,2.267030198032291,1.7312084114452073,2.8199623661294466
Stable-order weighting,26,2.3990014715694867,1.8484605280500668,2.99102515196907
Stable-order weighting,27,1.1208302047886718,0.7667722063592026,1.4965318690520906
Stable-order weighting,28,2.11627234794512,1.6066328514674006,2.6415378452838922
Stable-order weighting,29,2.4212424065757254,1.9395172805661407,2.9266418065913697
Stable-order weighting,30,2.267703342701245,1.7891599298746514,2.741407590672205
Stable-order weighting,31,3.838069710051232,3.3447898574589088,4.345010235624297
Stable-order weighting,32,2.3860395726319767,1.8206121672821018,2.9694880059995925
Stable-order weighting,33,2.3125723966249025,1.7997770849887014,2.8193865190279586
Stable-order weighting,34,2.693456008563263,2.1456944916624496,3.2620973793056574
Stable-order weighting,35,1.0786768501248802,0.7064007880530092,1.494302102815035
Stable-order weighting,36,2.7040128078779433,2.079782312137073,3.3937659508029254
Stable-order weighting,37,2.1797118852926785,1.595570459876331,2.777572982952283
Stable-order weighting,38,2.124194026631427,1.662089293948385,2.581600553923434
Stable-order weighting,39,2.815725072680483,2.350841444174551,3.3104056247723297
Stable-order weighting,40,2.8620817097046363,2.3019040827490356,3.433868338665911
Stable-order weighting,41,2.7349376483761603,2.1324122373563354,3.364111901199394
Stable-order weighting,42,1.9992549745950288,1.4380892501992741,2.564484069676599
Stable-order weighting,43,3.2192756334826553,2.665367885143151,3.7855338463366333
Stable-order weighting,44,2.5660179874564477,2.0742941328825206,3.05470736245076
Stable-order weighting,45,2.158321663602775,1.677033566678506,2.650272889491121
Stable-order weighting,46,2.818029699094714,2.340053034396452,3.31677212531781
Stable-order weighting,47,1.0179492007118751,0.6491501201177737,1.420487900069932
Stable-order weighting,48,0.9269743533882254,0.601056673642329,1.290565438627769
Stable-order weighting,49,3.401660258986026,2.772647624496558,4.073087006943976
Stable-order weighting,50,3.1472741654697263,2.589981470744416,3.73258620111088
Stable-order weighting,51,4.048159960739571,3.5290544000330253,4.612845726436079
Stable-order weighting,52,2.6319455042563225,2.137209664409769,3.1644210415102343
Stable-order weighting,53,2.845499674519926,2.278515827607886,3.4385452911247416
Stable-order weighting,54,2.1001132268959863,1.5565250549153329,2.6669244709829276
Stable-order weighting,55,2.545795392329243,2.0965275042816964,3.0165951625083505
Stable-order weighting,56,2.647447325628654,2.052908843864905,3.2695498209916534
Stable-order weighting,57,1.6755323574803538,1.195758790957346,2.191539690319215
Stable-order weighting,58,2.1593620922841996,1.684121630732309,2.634484159638428
Stable-order weighting,59,3.201861907389161,2.5726833997334584,3.8784595623511695
Stable-order weighting,60,2.856770572583218,2.3593861036956,3.3606587304737476
Stable-order weighting,61,2.97349925151667,2.4933861953957654,3.448878609741451
