model,relevant_property,sharpness,metric,mean,lower_95,upper_95,trials,posterior_draws
I-UPD-HO,all,all,speaker_size_first_given_set,0.9521436434507862,0.9445260178507352,0.9580509233580806,3034,200
I-UPD-HO,all,all,listener_size_first,0.16271315538914724,0.1595175654452134,0.16663325430678588,3034,200
I-UPD-HO,all,all,listener_colour_first,0.15690354131308917,0.15340316471080664,0.16130531460330438,3034,200
I-UPD-HO,all,all,listener_advantage,0.005809614076058063,0.004622097548026585,0.007011784670702842,3034,200
I-UPD-HO,both,blurred,speaker_size_first_given_set,0.9600622291209784,0.9536539016470539,0.9661836708222554,539,200
I-UPD-HO,both,blurred,listener_size_first,0.18499714932977857,0.1802753616772002,0.1905752273612627,539,200
I-UPD-HO,both,blurred,listener_colour_first,0.1699517352329972,0.16386851247748188,0.17745974884382104,539,200
I-UPD-HO,both,blurred,listener_advantage,0.015045414096781349,0.012017097060220203,0.0176179896183218,539,200
I-UPD-HO,both,sharp,speaker_size_first_given_set,0.9500292556745825,0.9395203991631501,0.957661956423633,476,200
I-UPD-HO,both,sharp,listener_size_first,0.20784661914291783,0.19978493419888618,0.21607404416067694,476,200
I-UPD-HO,both,sharp,listener_colour_first,0.19073833362181303,0.17893253401591724,0.20429837822418415,476,200
I-UPD-HO,both,sharp,listener_advantage,0.01710828552110476,0.011304337181353387,0.022239221915002334,476,200
I-UPD-HO,first,blurred,speaker_size_first_given_set,0.9747934950298486,0.9699675207475519,0.9789272983414391,527,200
I-UPD-HO,first,blurred,listener_size_first,0.194301951473142,0.18858818280503306,0.2002489004711226,527,200
I-UPD-HO,first,blurred,listener_colour_first,0.13327760262960706,0.13029346119069962,0.13560508096273902,527,200
I-UPD-HO,first,blurred,listener_advantage,0.06102434884353495,0.05696722633900867,0.0660676920951977,527,200
I-UPD-HO,first,sharp,speaker_size_first_given_set,0.9731943390653555,0.9675197574569656,0.977166041094913,475,200
I-UPD-HO,first,sharp,listener_size_first,0.23202302245643167,0.22422543150780164,0.24202453465835966,475,200
I-UPD-HO,first,sharp,listener_colour_first,0.11258711143775642,0.11031434750142737,0.11526910433960691,475,200
I-UPD-HO,first,sharp,listener_advantage,0.11943591101867522,0.11241198779527938,0.12803552392319245,475,200
I-UPD-HO,second,blurred,speaker_size_first_given_set,0.9385705973250871,0.9299522966599199,0.9473135334442472,540,200
I-UPD-HO,second,blurred,listener_size_first,0.07832834233220153,0.07554483642864156,0.08088275199745663,540,200
I-UPD-HO,second,blurred,listener_colour_first,0.15733316360507543,0.1535309273760659,0.1613757959729803,540,200
I-UPD-HO,second,blurred,listener_advantage,-0.07900482127287393,-0.08264277354393305,-0.0753206162197195,540,200
I-UPD-HO,second,sharp,speaker_size_first_given_set,0.914684992746448,0.8998244964163226,0.9280388359065663,477,200
I-UPD-HO,second,sharp,listener_size_first,0.08410459181835123,0.08131779545569363,0.08704451942706665,477,200
I-UPD-HO,second,sharp,listener_colour_first,0.1781421999661764,0.17402511807851792,0.1830404325197901,477,200
I-UPD-HO,second,sharp,listener_advantage,-0.09403760814782514,-0.09906765695948117,-0.08983863650240145,477,200
K-HKO,all,all,speaker_size_first_given_set,0.9669094011299861,0.9623215139899434,0.9710987572202306,3034,200
K-HKO,all,all,listener_size_first,0.16586305369712945,0.16244980428222036,0.1686857693700237,3034,200
K-HKO,all,all,listener_colour_first,0.15970209976288105,0.15691374288338786,0.16216720187363362,3034,200
K-HKO,all,all,listener_advantage,0.006160953934248383,0.00473884874400997,0.007661997871771807,3034,200
K-HKO,both,blurred,speaker_size_first_given_set,0.9712597354693011,0.9654498926976061,0.9758369268241905,539,200
K-HKO,both,blurred,listener_size_first,0.17981739258592325,0.17468640044500688,0.18412627886365115,539,200
K-HKO,both,blurred,listener_colour_first,0.1685280866215404,0.163475730365467,0.1733125874028004,539,200
K-HKO,both,blurred,listener_advantage,0.011289305964382818,0.007521535704121435,0.014571193806572628,539,200
K-HKO,both,sharp,speaker_size_first_given_set,0.9679276018750747,0.9628244852421983,0.9732676953939867,476,200
K-HKO,both,sharp,listener_size_first,0.20535891368981057,0.19977414098620414,0.21098642429674927,476,200
K-HKO,both,sharp,listener_colour_first,0.19277737075988705,0.18483795013514642,0.20092602145115768,476,200
K-HKO,both,sharp,listener_advantage,0.012581542929923533,0.005904600635402387,0.01785677576709743,476,200
K-HKO,first,blurred,speaker_size_first_given_set,0.9794879720154016,0.9761498833579602,0.9822851719073601,527,200
K-HKO,first,blurred,listener_size_first,0.19807994559909198,0.19172612926621396,0.20519503524094398,527,200
K-HKO,first,blurred,listener_colour_first,0.14794399653746862,0.14577338331230694,0.15039825617208175,527,200
K-HKO,first,blurred,listener_advantage,0.05013594906162336,0.04442367769248955,0.05589669125723769,527,200
K-HKO,first,sharp,speaker_size_first_given_set,0.977677940847343,0.974534376823822,0.981047369866977,475,200
K-HKO,first,sharp,listener_size_first,0.2560577223964392,0.24609113804926414,0.26535205742631135,475,200
K-HKO,first,sharp,listener_colour_first,0.14059821770420083,0.13719239290323257,0.14364748313958056,475,200
K-HKO,first,sharp,listener_advantage,0.11545950469223833,0.10511806290620697,0.12418507326711963,475,200
K-HKO,second,blurred,speaker_size_first_given_set,0.9575365592057702,0.9483090824094621,0.9645164493827884,540,200
K-HKO,second,blurred,listener_size_first,0.07752555533005773,0.07413837321339864,0.08019375172236988,540,200
K-HKO,second,blurred,listener_colour_first,0.14621357094972093,0.14293982449563125,0.14942845287531634,540,200
K-HKO,second,blurred,listener_advantage,-0.06868801561966321,-0.07223267270406367,-0.0648723521486512,540,200
K-HKO,second,sharp,speaker_size_first_given_set,0.9469678448473136,0.936894738082058,0.9572348796658764,477,200
K-HKO,second,sharp,listener_size_first,0.08527618039762495,0.08157920509102168,0.08935278294209509,477,200
K-HKO,second,sharp,listener_colour_first,0.16400741218506085,0.1595774012342002,0.16833971240592815,477,200
K-HKO,second,sharp,listener_advantage,-0.0787312317874359,-0.08454632431162727,-0.07331760609817763,477,200
K-HO,all,all,speaker_size_first_given_set,0.9666047159833036,0.962052673539945,0.9704136390903942,3034,200
K-HO,all,all,listener_size_first,0.1633132871687852,0.15992517628129854,0.16681486235184667,3034,200
K-HO,all,all,listener_colour_first,0.1570678139486281,0.1540782676779516,0.15998544457466973,3034,200
K-HO,all,all,listener_advantage,0.006245473220157065,0.005374452119992687,0.007597765810229782,3034,200
K-HO,both,blurred,speaker_size_first_given_set,0.9706986955369217,0.966221892567354,0.975668788248587,539,200
K-HO,both,blurred,listener_size_first,0.1720888665446748,0.16736783641236397,0.17734152157875288,539,200
K-HO,both,blurred,listener_colour_first,0.16164766289484533,0.1580922359884839,0.1656554433837067,539,200
K-HO,both,blurred,listener_advantage,0.010441203649829476,0.007950834242624718,0.013203352710744886,539,200
K-HO,both,sharp,speaker_size_first_given_set,0.9663945878122382,0.9601694284174009,0.9720297102906834,476,200
K-HO,both,sharp,listener_size_first,0.20438851101549646,0.197361610140471,0.21106132629242955,476,200
K-HO,both,sharp,listener_colour_first,0.19341231399428074,0.18575600003170606,0.2013304085348949,476,200
K-HO,both,sharp,listener_advantage,0.010976197021215734,0.005547029212291581,0.01658984849489866,476,200
K-HO,first,blurred,speaker_size_first_given_set,0.9763969580185207,0.9726720009977793,0.9799988004548252,527,200
K-HO,first,blurred,listener_size_first,0.18736643793019972,0.18146407030113076,0.19383657479467972,527,200
K-HO,first,blurred,listener_colour_first,0.14141821227634485,0.1389430384712333,0.14431864087946694,527,200
K-HO,first,blurred,listener_advantage,0.04594822565385487,0.040776027540523806,0.05126021418823538,527,200
K-HO,first,sharp,speaker_size_first_given_set,0.9751694963316947,0.970750058747635,0.9791640742618828,475,200
