semantics,speaker,nobj,sd_spread,color_semvalue,k,wf,n_scenes,mean_big_blue,mean_blue_big,mean_advantage,mcse_advantage
static,global_speaker,2,2.0,0.94,0.7,0.2,1000,0.5,0.5,-2.1094237467877974e-18,1.7898327464254934e-18
static,global_speaker,2,2.0,0.94,0.7,0.3,1000,0.5,0.5,-6.106226635438361e-19,1.7447348818508323e-18
static,global_speaker,2,2.0,0.94,0.7,0.5,1000,0.5,0.5,5.551115123125783e-20,1.7833090438617736e-18
static,global_speaker,2,2.0,0.94,0.7,0.8,1000,0.5,0.5,1.1657341758564144e-18,1.7479848496729968e-18
static,global_speaker,2,2.0,0.96,0.7,0.1,1000,0.5,0.5,2.9420910152566647e-18,1.808379381064055e-18
static,global_speaker,2,2.0,0.96,0.7,0.2,1000,0.5,0.5,-4.551914400963142e-18,1.920134229628655e-18
static,global_speaker,2,2.0,0.96,0.7,0.3,1000,0.5,0.5,1.3322676295501879e-18,1.7923023779652005e-18
static,global_speaker,2,2.0,0.96,0.7,0.5,1000,0.5,0.5,3.3306690738754697e-19,1.848673921250583e-18
static,global_speaker,2,2.0,0.96,0.7,0.8,1000,0.5,0.5,-9.436895709313831e-19,1.9035443852635503e-18
static,global_speaker,2,2.0,0.98,0.7,0.1,1000,0.5,0.5,-4.996003610813204e-18,2.0344994017233776e-18
static,global_speaker,2,2.0,0.98,0.7,0.2,1000,0.5,0.5,-2.9976021664879226e-18,2.0535018113060735e-18
static,global_speaker,2,2.0,0.98,0.7,0.3,1000,0.5,0.5,9.436895709313831e-19,2.174340860068285e-18
static,global_speaker,2,2.0,0.98,0.7,0.5,1000,0.5,0.5,5.551115123125783e-20,1.962811235784752e-18
static,global_speaker,2,2.0,0.98,0.7,0.8,1000,0.5,0.5,7.771561172376096e-19,2.146566261298923e-18
static,global_speaker,2,2.0,0.9,0.9,0.1,1000,0.5,0.5,-2.1649348980190553e-18,1.7750566232873376e-18
static,global_speaker,2,2.0,0.9,0.9,0.2,1000,0.5,0.5,-6.827871601444713e-18,1.893112599921148e-18
static,global_speaker,2,2.0,0.9,0.9,0.3,1000,0.5,0.5,1.1102230246251566e-18,1.9789323447393324e-18
static,global_speaker,2,2.0,0.9,0.9,0.5,1000,0.5,0.5,-4.052314039881821e-18,2.006847487754849e-18
static,global_speaker,2,2.0,0.9,0.9,0.8,1000,0.5,0.5,-3.3306690738754697e-19,2.0269532563472444e-18
static,global_speaker,2,2.0,0.92,0.9,0.1,1000,0.5,0.5,-1.7763568394002505e-18,1.8175541532763734e-18
static,global_speaker,2,2.0,0.92,0.9,0.2,1000,0.5,0.5,5.551115123125783e-19,2.0616091833853708e-18
static,global_speaker,2,2.0,0.92,0.9,0.3,1000,0.5,0.5,2.3869795029440864e-18,2.024811744587779e-18
static,global_speaker,2,2.0,0.92,0.9,0.5,1000,0.5,0.5,-9.436895709313831e-19,2.042678420293301e-18
static,global_speaker,2,2.0,0.92,0.9,0.8,1000,0.5,0.5,-8.881784197001253e-19,2.11029216356946e-18
static,global_speaker,2,2.0,0.94,0.9,0.1,1000,0.5,0.5,-8.881784197001253e-19,1.7079859246604282e-18
static,global_speaker,2,2.0,0.94,0.9,0.2,1000,0.5,0.5,-4.718447854656916e-18,1.6880316780049058e-18
static,global_speaker,2,2.0,0.94,0.9,0.3,1000,0.5,0.5,1.8318679906315084e-18,1.7562169446147728e-18
static,global_speaker,2,2.0,0.94,0.9,0.5,1000,0.5,0.5,3.996802888650563e-18,1.676149746035342e-18
static,global_speaker,2,2.0,0.94,0.9,0.8,1000,0.5,0.5,4.996003610813204e-19,1.7815092576670784e-18
static,global_speaker,2,2.0,0.96,0.9,0.1,1000,0.5,0.5,-1.5543122344752192e-18,1.7201079266534093e-18
static,global_speaker,2,2.0,0.96,0.9,0.2,1000,0.5,0.5,-3.608224830031759e-18,1.753460788624537e-18
static,global_speaker,2,2.0,0.96,0.9,0.3,1000,0.5,0.5,2.275957200481571e-18,1.7904900974263826e-18
static,global_speaker,2,2.0,0.96,0.9,0.5,1000,0.5,0.5,-3.2751579226442116e-18,1.7889389476758653e-18
static,global_speaker,2,2.0,0.96,0.9,0.8,1000,0.5,0.5,-1.2212453270876721e-18,1.8365808895527456e-18
static,global_speaker,2,2.0,0.98,0.9,0.1,1000,0.5,0.5,-1.8873791418627663e-18,2.0031344457449883e-18
static,global_speaker,2,2.0,0.98,0.9,0.2,1000,0.5,0.5,1.8318679906315084e-18,2.01928955235252e-18
static,global_speaker,2,2.0,0.98,0.9,0.3,1000,0.5,0.5,6.106226635438361e-19,2.059347938437366e-18
static,global_speaker,2,2.0,0.98,0.9,0.5,1000,0.5,0.5,-1.609823385706477e-18,2.0087586354380423e-18
static,global_speaker,2,2.0,0.98,0.9,0.8,1000,0.5,0.5,-2.220446049250313e-19,2.2518853900053015e-18
static,incremental_speaker,2,2.0,0.9,0.1,0.1,1000,0.5103370359013674,0.4929216150267016,0.017415420874665785,0.003965895197942901
static,incremental_speaker,2,2.0,0.9,0.1,0.2,1000,0.48287883328025394,0.5198126244693092,-0.0369337911890553,0.0034805069768126893
