model,combination,relevant_property,sharpness,summary_type,category,observed_proportion,predicted_mean,predicted_q025,predicted_q975,observation_count,posterior_predictive_draws,observed_mean,observed_lower,observed_upper,display_response,context,discriminability
Plan-guided,dimension_color,first,sharp,Exact response,CDF,0.01894736842105263,0.00961578947368421,0.00210526315789473,0.01894736842105263,475,4000,0.01894736842105263,0.00210084033613445,0.04641350210970464,TRUE,Size sufficient,High
Plan-guided,dimension_color,first,sharp,Exact response,CF,0.09894736842105264,0.04529263157894737,0.02736842105263158,0.06526315789473684,475,4000,0.09894736842105264,0.04651162790697674,0.16101694915254236,TRUE,Size sufficient,High
Plan-guided,dimension_color,first,sharp,Exact response,F,0.1031578947368421,0.06271368421052631,0.04210526315789473,0.0863157894736842,475,4000,0.1031578947368421,0.08227848101265822,0.12447257383966244,TRUE,Size sufficient,High
Plan-guided,dimension_color,first,sharp,Exact response,FC,0.01052631578947368,0.01754526315789473,0.00631578947368421,0.02947368421052631,475,4000,0.01052631578947368,0,0.02536997885835095,TRUE,Size sufficient,High
Plan-guided,dimension_color,second,blurred,Exact response,S,0,0.00356388888888888,0,0.00925925925925925,540,4000,0,0,0,TRUE,Colour sufficient,Low
Plan-guided,dimension_color,second,blurred,Exact response,SC,0,0.06205925925925926,0.04259259259259259,0.08333333333333333,540,4000,0,0,0,TRUE,Colour sufficient,Low
Plan-guided,dimension_color,second,blurred,Exact response,SCF,0.02777777777777777,0.03291111111111111,0.01851851851851851,0.04814814814814815,540,4000,0.02777777777777777,0.00921296296296297,0.05185185185185185,TRUE,Colour sufficient,Low
Plan-guided,dimension_color,second,blurred,Exact response,SF,0,0.01648796296296296,0.00555555555555555,0.02777777777777777,540,4000,0,0,0,TRUE,Colour sufficient,Low
Plan-guided,dimension_color,second,blurred,Exact response,SFC,0.01481481481481481,0.00598009259259259,0,0.01296296296296296,540,4000,0.01481481481481481,0,0.04074074074074074,TRUE,Colour sufficient,Low
Plan-guided,dimension_color,second,blurred,Exact response,C,0.6148148148148148,0.734324537037037,0.6962962962962963,0.7703703703703704,540,4000,0.6148148148148148,0.524074074074074,0.7037037037037037,TRUE,Colour sufficient,Low
Plan-guided,dimension_color,second,blurred,Exact response,CDF,0.00555555555555555,0.00318564814814814,0,0.00925925925925925,540,4000,0.00555555555555555,0,0.01481481481481481,TRUE,Colour sufficient,Low
Plan-guided,dimension_color,second,blurred,Exact response,CF,0.27037037037037037,0.10509907407407408,0.07962962962962963,0.13333333333333333,540,4000,0.27037037037037037,0.1907407407407407,0.35555555555555557,TRUE,Colour sufficient,Low
Plan-guided,dimension_color,second,blurred,Exact response,F,0.04629629629629629,0.0175824074074074,0.0074074074074074,0.02962962962962963,540,4000,0.04629629629629629,0.03148148148148148,0.06300925925925942,TRUE,Colour sufficient,Low
Plan-guided,dimension_color,second,blurred,Exact response,FC,0.02037037037037037,0.0135,0.0037037037037037,0.02407407407407407,540,4000,0.02037037037037037,0,0.05740740740740741,TRUE,Colour sufficient,Low
