contrast,semantics,rule,support,order,parameter_set,mean,variance,groups,mcse,lower_mc95,upper_mc95
stable_order_minus_neutral,updating,prefix_k05,two,stable,fitted_constants,0.0018963495258413835,5.665817752197151e-07,24,3.136317769793114e-05,0.0018348776975534386,0.0019578213541293285
stable_order_minus_neutral,updating,prefix_k1,fifteen,stable,fitted_constants,0.0011539740640270225,1.856561009475245e-07,24,1.7953262090789053e-05,0.001118785670329076,0.001189162457724969
stable_order_minus_neutral,updating,prefix_k1,four,stable,fitted_constants,0.0017281889736499275,3.0355367205371006e-07,24,2.295654379193489e-05,0.001683194147817735,0.0017731837994821198
stable_order_minus_neutral,updating,prefix_k1,two,stable,fitted_constants,0.0018943441295596,5.637442165969314e-07,24,3.128454248120885e-05,0.0018330264262964306,0.0019556618328227695
stable_order_minus_neutral,updating,terminal,fifteen,stable,fitted_constants,-5.854090043125515e-06,7.534862607880487e-10,24,1.1437376750914939e-06,-8.095815886304843e-06,-3.6123641999461872e-06
stable_order_minus_neutral,updating,terminal,four,stable,fitted_constants,-1.092342765064787e-05,1.7664628195847515e-09,24,1.7512212105972647e-06,-1.4355821223418509e-05,-7.491034077877232e-06
stable_order_minus_neutral,updating,terminal,two,stable,fitted_constants,-6.296191957114404e-06,2.0379622958760318e-10,24,5.948217368166608e-07,-7.462042561275059e-06,-5.130341352953749e-06
support_fifteen_minus_four,fixed,prefix_k0,fifteen,neutral,fitted_constants,3.0328977945966993e-05,2.7368903267834717e-08,24,6.893145657986131e-06,1.6818412456314176e-05,4.383954343561981e-05
support_fifteen_minus_four,fixed,prefix_k0,fifteen,neutral,original_grid,0.0033141068657943046,3.052707465666817e-07,24,2.3021379954546604e-05,0.0032689849610833934,0.0033592287705052157
support_fifteen_minus_four,fixed,prefix_k0,fifteen,stable,fitted_constants,0.0006313629759573876,5.306014054794685e-08,24,9.59782785646876e-06,0.0006125512333587088,0.0006501747185560664
support_fifteen_minus_four,fixed,prefix_k05,fifteen,neutral,fitted_constants,-0.005747323133789516,3.5225665057736497e-06,24,7.82020898077633e-05,-0.0059005992298127325,-0.0055940470377663
support_fifteen_minus_four,fixed,prefix_k05,fifteen,neutral,original_grid,0.027193776542841015,5.513068270524091e-05,24,0.00030937516191140797,0.026587401225494654,0.027800151860187375
support_fifteen_minus_four,fixed,prefix_k05,fifteen,stable,fitted_constants,-0.005469624237569837,2.4617921012509423e-06,24,6.537541296410547e-05,-0.005597760046979484,-0.005341488428160191
support_fifteen_minus_four,fixed,prefix_k1,fifteen,neutral,fitted_constants,-0.010950262633939646,1.2813661827376432e-05,24,0.00014915073138449078,-0.011242598067453247,-0.010657927200426045
support_fifteen_minus_four,fixed,prefix_k1,fifteen,neutral,original_grid,0.03358207628960748,0.0002425506929998819,24,0.0006489182946448612,0.032310196432103554,0.034853956147111405
support_fifteen_minus_four,fixed,prefix_k1,fifteen,stable,fitted_constants,-0.011523549038230586,8.969745942042913e-06,24,0.00012478972551385991,-0.011768136900237751,-0.011278961176223422
support_fifteen_minus_four,fixed,terminal,fifteen,neutral,fitted_constants,-3.0213100539929395e-19,1.4960412273802704e-35,24,1.611612173426098e-19,-6.180069913908092e-19,1.3744980592221284e-20
support_fifteen_minus_four,fixed,terminal,fifteen,neutral,original_grid,3.7176280572500295e-20,2.899676473461968e-37,24,2.2436935049611402e-20,-6.80011212473805e-21,8.115267326973865e-20
support_fifteen_minus_four,fixed,terminal,fifteen,stable,fitted_constants,-5.93246516726135e-18,5.182880025906395e-35,24,2.999675915916907e-19,-6.520401646781064e-18,-5.3445286877416365e-18
support_fifteen_minus_four,updating,prefix_k0,fifteen,neutral,fitted_constants,2.8460104620669304e-05,2.7345634447591907e-08,24,6.890214786553977e-06,1.495528363902351e-05,4.19649256023151e-05
support_fifteen_minus_four,updating,prefix_k0,fifteen,neutral,original_grid,0.003318515830974696,3.070163984562701e-07,24,2.30871085381701e-05,0.0032732650982398824,0.0033637665637095094
support_fifteen_minus_four,updating,prefix_k0,fifteen,stable,fitted_constants,0.0006303033796207293,5.303201723293214e-08,24,9.59528396467397e-06,0.0006114966230499683,0.0006491101361914903
support_fifteen_minus_four,updating,prefix_k05,fifteen,neutral,fitted_constants,-0.005737385897121799,3.5345666872380874e-06,24,7.833518046623264e-05,-0.005890922850835615,-0.005583848943407983
support_fifteen_minus_four,updating,prefix_k05,fifteen,neutral,original_grid,0.027603359360574783,5.446730806912121e-05,24,0.0003075082092093042,0.027000643270524545,0.02820607545062502
support_fifteen_minus_four,updating,prefix_k05,fifteen,stable,fitted_constants,-0.00546124994843455,2.4723973311390955e-06,24,6.551607800892879e-05,-0.005589661461332051,-0.0053328384355370495
support_fifteen_minus_four,updating,prefix_k1,fifteen,neutral,fitted_constants,-0.010932626360498984,1.2849462120100989e-05,24,0.00014935894334959878,-0.011225369889464197,-0.01063988283153377
support_fifteen_minus_four,updating,prefix_k1,fifteen,neutral,original_grid,0.03812439857449391,0.0002600148767957606,24,0.0006718740333271606,0.036807525469172674,0.03944127167981514
