model,combination,relevant_property,sharpness,summary_type,category,observed_proportion,predicted_mean,predicted_q025,predicted_q975,observation_count,posterior_predictive_draws
Global,color_form,second,sharp,Exact response,DF,0.0335429769392033,0.1094538784067085,0.0817610062893081,0.1383647798742138,477,4000
Global,color_form,second,sharp,Exact response,DFC,0.0062893081761006,0.0228238993710691,0.010482180293501,0.0377358490566037,477,4000
Global,color_form,second,sharp,Exact response,C,0.0,0.0077788259958071,0.0,0.0167714884696016,477,4000
Global,color_form,second,sharp,Exact response,CD,0.0,0.0003118448637316,0.0,0.0020964360587002,477,4000
Global,color_form,second,sharp,Exact response,CDF,0.0041928721174004,0.0038480083857442,0.0,0.010482180293501,477,4000
Global,color_form,second,sharp,Exact response,CF,0.1677148846960167,0.0933763102725366,0.0691823899371069,0.1194968553459119,477,4000
Global,color_form,second,sharp,Exact response,CFD,0.0,0.0019816561844863,0.0,0.0062893081761006,477,4000
Global,color_form,second,sharp,Exact response,F,0.7379454926624738,0.6667216981132076,0.6247379454926625,0.7085953878406709,477,4000
Global,color_form,second,sharp,Exact response,FD,0.0,0.001566037735849,0.0,0.0062893081761006,477,4000
Global,color_form,second,sharp,Exact response,FDC,0.0062893081761006,0.0027044025157232,0.0,0.0083857442348008,477,4000
Global,color_form,second,sharp,Exact response,FC,0.0230607966457023,0.037775681341719,0.020964360587002,0.0566037735849056,477,4000
Global,color_form,second,sharp,Exact response,FCD,0.0,0.0010062893081761,0.0,0.0041928721174004,477,4000
Global,color_form,second,sharp,Response length,1,0.7379454926624738,0.6761567085953878,0.6352201257861635,0.7169811320754716,477,4000
Global,color_form,second,sharp,Response length,2,0.2243186582809224,0.2485146750524109,0.2096436058700209,0.2872641509433964,477,4000
Global,color_form,second,sharp,Response length,3,0.0377358490566037,0.0753286163522012,0.0524109014675052,0.0985849056603775,477,4000
Global,color_form,second,sharp,Initial adjective,D,0.060796645702306,0.1829292452830188,0.1488469601677149,0.2159329140461215,477,4000
Global,color_form,second,sharp,Initial adjective,C,0.1719077568134172,0.107296645702306,0.0796645702306079,0.1362683438155136,477,4000
Global,color_form,second,sharp,Initial adjective,F,0.7672955974842768,0.7097741090146751,0.6708595387840671,0.750524109014675,477,4000
Global,dimension_color,both,blurred,Exact response,D,0.0,0.0029874768089053,0.0,0.0092764378478664,539,4000
Global,dimension_color,both,blurred,Exact response,DC,0.0667903525046382,0.0392207792207792,0.0241187384044526,0.0556586270871985,539,4000
Global,dimension_color,both,blurred,Exact response,DCF,0.313543599257885,0.1886461038961038,0.1558441558441558,0.222634508348794,539,4000
Global,dimension_color,both,blurred,Exact response,DF,0.0816326530612244,0.182580241187384,0.150278293135436,0.2170686456400742,539,4000
Global,dimension_color,both,blurred,Exact response,DFC,0.0296846011131725,0.0741762523191094,0.0538033395176252,0.0964749536178107,539,4000
Global,dimension_color,both,blurred,Exact response,C,0.0092764378478664,0.0374948979591836,0.0222634508348794,0.0538033395176252,539,4000
Global,dimension_color,both,blurred,Exact response,CD,0.0055658627087198,0.0006980519480519,0.0,0.0037105751391465,539,4000
Global,dimension_color,both,blurred,Exact response,CDF,0.0519480519480519,0.0107444341372912,0.0037105751391465,0.0204081632653061,539,4000
Global,dimension_color,both,blurred,Exact response,CF,0.2764378478664193,0.2481284786641929,0.2115027829313543,0.287569573283859,539,4000
Global,dimension_color,both,blurred,Exact response,CFD,0.0037105751391465,0.0037393320964749,0.0,0.0092764378478664,539,4000
Global,dimension_color,both,blurred,Exact response,F,0.1187384044526901,0.1244243970315398,0.0964749536178107,0.1521799628942487,539,4000
Global,dimension_color,both,blurred,Exact response,FD,0.0018552875695732,0.0013529684601113,0.0,0.0055658627087198,539,4000
Global,dimension_color,both,blurred,Exact response,FDC,0.0037105751391465,0.0054489795918367,0.0,0.0129870129870129,539,4000
Global,dimension_color,both,blurred,Exact response,FC,0.0371057513914656,0.07866280148423,0.0575139146567718,0.1020408163265306,539,4000
Global,dimension_color,both,blurred,Exact response,FCD,0.0,0.0016948051948051,0.0,0.0055658627087198,539,4000
Global,dimension_color,both,blurred,Response length,1,0.1280148423005566,0.1649067717996289,0.1335807050092764,0.196660482374768,539,4000
Global,dimension_color,both,blurred,Response length,2,0.4693877551020408,0.5506433209647494,0.5064935064935064,0.5936920222634509,539,4000
Global,dimension_color,both,blurred,Response length,3,0.4025974025974026,0.2844499072356214,0.2467532467532467,0.3228200371057514,539,4000
Global,dimension_color,both,blurred,Initial adjective,D,0.4916512059369202,0.487610853432282,0.4452690166975881,0.5324675324675324,539,4000
Global,dimension_color,both,blurred,Initial adjective,C,0.3469387755102041,0.3008051948051948,0.261595547309833,0.3413729128014842,539,4000
Global,dimension_color,both,blurred,Initial adjective,F,0.1614100185528757,0.2115839517625231,0.1781076066790352,0.2467532467532467,539,4000
Global,dimension_color,both,sharp,Exact response,D,0.0,0.0055225840336134,0.0,0.0126050420168067,476,4000
Global,dimension_color,both,sharp,Exact response,DC,0.1974789915966386,0.046859768907563,0.0294117647058823,0.0672268907563025,476,4000
Global,dimension_color,both,sharp,Exact response,DCF,0.3046218487394957,0.1919012605042016,0.1554621848739495,0.2289915966386554,476,4000
