model,combination,relevant_property,sharpness,summary_type,category,observed_proportion,predicted_mean,predicted_q025,predicted_q975,observation_count,posterior_predictive_draws
Plan-guided,dimension_color,both,blurred,Exact response,D,0.0,0.0039192949907235625,0.0,0.00927643784786642,539,4000
Plan-guided,dimension_color,both,blurred,Exact response,DC,0.06679035250463822,0.042330241187384036,0.025974025974025976,0.061224489795918366,539,4000
Plan-guided,dimension_color,both,blurred,Exact response,DCF,0.313543599257885,0.20333024118738405,0.16883116883116883,0.23747680890538034,539,4000
Plan-guided,dimension_color,both,blurred,Exact response,DF,0.08163265306122448,0.186484693877551,0.15398886827458255,0.22077922077922077,539,4000
Plan-guided,dimension_color,both,blurred,Exact response,DFC,0.029684601113172542,0.039051020408163266,0.02411873840445269,0.055658627087198514,539,4000
Plan-guided,dimension_color,both,blurred,Exact response,C,0.00927643784786642,0.041030148423005564,0.025974025974025976,0.059369202226345084,539,4000
Plan-guided,dimension_color,both,blurred,Exact response,CD,0.0055658627087198514,0.0008673469387755102,0.0,0.0037105751391465678,539,4000
Plan-guided,dimension_color,both,blurred,Exact response,CDF,0.05194805194805195,0.01558673469387755,0.0055658627087198514,0.026020408163265476,539,4000
Plan-guided,dimension_color,both,blurred,Exact response,CF,0.2764378478664193,0.284610853432282,0.24675324675324675,0.3246753246753247,539,4000
Plan-guided,dimension_color,both,blurred,Exact response,CFD,0.0037105751391465678,0.009440166975881261,0.0018552875695732839,0.01855287569573284,539,4000
Plan-guided,dimension_color,both,blurred,Exact response,F,0.11873840445269017,0.12099489795918368,0.09461966604823747,0.150278293135436,539,4000
Plan-guided,dimension_color,both,blurred,Exact response,FD,0.0018552875695732839,0.0009188311688311688,0.0,0.0037105751391465678,539,4000
