id,pattern,measure,value
72,Middle 70%,Three adjectives,0.1
72,Middle 70%,Size initial,0.7222222222222222
72,Middle 70%,Canonical order,1
73,Middle 70%,One adjective,0.24691358024691357
73,Middle 70%,Three adjectives,0.18518518518518515
73,Middle 70%,Size initial,0.4918032786885246
73,Middle 70%,Canonical order,0.918032786885246
74,Middle 70%,One adjective,0.3670886075949367
74,Middle 70%,Three adjectives,0.16455696202531644
74,Middle 70%,Size initial,0.54
74,Middle 70%,Canonical order,0.96
75,Middle 70%,One adjective,0.5308641975308642
75,Middle 70%,Three adjectives,0.14814814814814814
75,Middle 70%,Size initial,0.7105263157894737
75,Middle 70%,Canonical order,1
76,Middle 70%,One adjective,0.32098765432098764
76,Middle 70%,Three adjectives,0.30864197530864196
76,Middle 70%,Size initial,0.4727272727272727
76,Middle 70%,Canonical order,1
77,Middle 70%,One adjective,0.41975308641975306
77,Middle 70%,Three adjectives,0.1728395061728395
77,Middle 70%,Size initial,0.5957446808510638
77,Middle 70%,Canonical order,0.9361702127659576
78,Middle 70%,One adjective,0.5125
78,Middle 70%,Three adjectives,0.025
78,Middle 70%,Size initial,0.5384615384615384
78,Middle 70%,Canonical order,0.9487179487179488
79,Stable order favoured,One adjective,0.4074074074074074
79,Stable order favoured,Three adjectives,0.345679012345679
79,Stable order favoured,Size initial,0.8125
79,Stable order favoured,Canonical order,1
80,Stable order favoured,One adjective,0.691358024691358
80,Stable order favoured,Three adjectives,0
80,Stable order favoured,Size initial,0.48
80,Stable order favoured,Canonical order,0.8
81,Middle 70%,One adjective,0.382716049382716
81,Middle 70%,Three adjectives,0.18518518518518515
81,Middle 70%,Size initial,0.6
81,Middle 70%,Canonical order,0.94
82,Middle 70%,One adjective,0.5308641975308642
82,Middle 70%,Three adjectives,0.06172839506172839
82,Middle 70%,Size initial,0.42105263157894735
82,Middle 70%,Canonical order,0.8421052631578947
83,Successive choice favoured,One adjective,0.49382716049382713
83,Successive choice favoured,Three adjectives,0.01234567901234567
83,Successive choice favoured,Size initial,0.6829268292682927
83,Successive choice favoured,Canonical order,0.8780487804878049
84,Middle 70%,One adjective,0.5555555555555556
84,Middle 70%,Three adjectives,0.03703703703703703
84,Middle 70%,Size initial,0.7777777777777778
84,Middle 70%,Canonical order,0.9722222222222222
85,Middle 70%,One adjective,0.48148148148148145
85,Middle 70%,Three adjectives,0.13580246913580246
85,Middle 70%,Size initial,0.7142857142857143
85,Middle 70%,Canonical order,0.9523809523809524
86,Middle 70%,One adjective,0.382716049382716
86,Middle 70%,Three adjectives,0.16049382716049382
86,Middle 70%,Size initial,0.52
86,Middle 70%,Canonical order,0.98
87,Middle 70%,One adjective,0.14473684210526316
87,Middle 70%,Three adjectives,0.21052631578947367
87,Middle 70%,Size initial,0.4
87,Middle 70%,Canonical order,1
88,Stable order favoured,One adjective,0.6790123456790124
88,Stable order favoured,Three adjectives,0
88,Stable order favoured,Size initial,0
88,Stable order favoured,Canonical order,0.5769230769230769
89,Stable order favoured,One adjective,0
89,Stable order favoured,Three adjectives,0.24691358024691357
89,Stable order favoured,Size initial,0.25925925925925924
89,Stable order favoured,Canonical order,0.8024691358024691
90,Middle 70%,One adjective,0.4875
90,Middle 70%,Three adjectives,0.25
90,Middle 70%,Size initial,0.7560975609756098
90,Middle 70%,Canonical order,0.975609756097561
91,Successive choice favoured,One adjective,0.3703703703703703
91,Successive choice favoured,Three adjectives,0.13580246913580246
91,Successive choice favoured,Size initial,0.392156862745098
91,Successive choice favoured,Canonical order,1
92,Middle 70%,One adjective,0.5802469135802469
92,Middle 70%,Three adjectives,0.06172839506172839
92,Middle 70%,Size initial,0.6764705882352942
92,Middle 70%,Canonical order,1
93,Middle 70%,One adjective,0.35802469135802467
93,Middle 70%,Three adjectives,0.1728395061728395
93,Middle 70%,Size initial,0.36538461538461536
93,Middle 70%,Canonical order,0.9807692307692308
94,Middle 70%,One adjective,0
94,Middle 70%,Three adjectives,0.3703703703703703
94,Middle 70%,Size initial,0.3703703703703703
94,Middle 70%,Canonical order,1
95,Successive choice favoured,One adjective,0
95,Successive choice favoured,Three adjectives,0.2716049382716049
95,Successive choice favoured,Size initial,0.2716049382716049
95,Successive choice favoured,Canonical order,1
96,Middle 70%,One adjective,0.4074074074074074
96,Middle 70%,Three adjectives,0.13580246913580246
96,Middle 70%,Size initial,0.5625
96,Middle 70%,Canonical order,1
97,Middle 70%,One adjective,0
97,Middle 70%,Three adjectives,0.345679012345679
97,Middle 70%,Size initial,0.345679012345679
97,Middle 70%,Canonical order,1
98,Middle 70%,One adjective,0.48148148148148145
98,Middle 70%,Three adjectives,0.1111111111111111
98,Middle 70%,Size initial,0.6666666666666666
98,Middle 70%,Canonical order,0.9523809523809524
99,Successive choice favoured,One adjective,0.3717948717948718
99,Successive choice favoured,Three adjectives,0.14102564102564102
99,Successive choice favoured,Size initial,0.2653061224489796
99,Successive choice favoured,Canonical order,0.8775510204081632
100,Middle 70%,One adjective,0.4868421052631579
100,Middle 70%,Three adjectives,0.18421052631578944
100,Middle 70%,Size initial,0.4615384615384616
100,Middle 70%,Canonical order,0.7948717948717948
101,Middle 70%,One adjective,0.30666666666666664
101,Middle 70%,Three adjectives,0.14666666666666667
