combination,relevant_property,sharpness,response,n,observed_percent,fixed_predicted_percent,updating_predicted_percent,fixed_residual_pp,updating_residual_pp,fixed_absolute_error_advantage_pp
dimension_color,first,blurred,DF,527,35.10436432637571,44.354130520878286,43.781102705722994,-9.249766194502579,-8.676738379347281,-0.573027815155297
dimension_color,first,blurred,DFC,527,3.415559772296015,6.109185044290618,6.070326757259916,-2.693625271994603,-2.6547669849639006,-0.038858287030702626
dimension_color,first,blurred,F,527,3.795066413662239,10.749483157536236,10.886646690097182,-6.954416743873998,-7.091580276434943,0.1371635325609452
dimension_color,first,blurred,FC,527,1.7077798861480076,2.6760318350255616,2.806313264686541,-0.9682519488775538,-1.0985333785385334,0.1302814296609795
dimension_color,first,blurred,FCD,527,0.3795066413662239,0.15796774400265415,0.1590008705132945,0.22153889736356977,0.2205057708529294,-0.0010331265106403552
dimension_color,first,blurred,FD,527,0.7590132827324478,0.19507273930337063,0.20201332360034346,0.5639405434290772,0.5569999591321043,-0.006940584296972856
dimension_color,first,blurred,FDC,527,0.3795066413662239,0.3627763337179193,0.366902276542614,0.016730307648304618,0.012604364823609908,-0.004125942824694711
dimension_color,first,sharp,C,475,0.0,0.7954521768279111,0.8051533933418382,-0.7954521768279111,-0.8051533933418382,0.00970121651392708
dimension_color,first,sharp,CD,475,0.0,0.05656383141315007,0.05848103013001926,-0.05656383141315007,-0.05848103013001926,0.0019171987168691961
dimension_color,first,sharp,CDF,475,1.8947368421052633,0.8833612710340449,0.8630610122117663,1.0113755710712184,1.031675829893497,0.020300258822278545
