fixed,updating,partition,level,factor,n,delta_elpd
K-HO,K-UPD-HO,combination,dimension_form,order_given_set,3015,1.631702307820259
K-HO,K-UPD-HO,length_observed,1,response,3540,-18.581200993122952
K-HO,K-UPD-HO,length_observed,1,length,3540,-15.675032708448294
K-HO,K-UPD-HO,length_observed,1,set_given_length,3540,-2.9061682846746795
K-HO,K-UPD-HO,length_observed,1,order_given_set,3540,0.0
K-HO,K-UPD-HO,length_observed,2,response,3927,-26.17650994854381
K-HO,K-UPD-HO,length_observed,2,length,3927,16.21824151253152
K-HO,K-UPD-HO,length_observed,2,set_given_length,3927,-37.54526123539807
K-HO,K-UPD-HO,length_observed,2,order_given_set,3927,-4.849490225677284
K-HO,K-UPD-HO,length_observed,3,response,1633,-16.925205192799798
K-HO,K-UPD-HO,length_observed,3,length,1633,-19.34106241781712
K-HO,K-UPD-HO,length_observed,3,set_given_length,1633,0.0
K-HO,K-UPD-HO,length_observed,3,order_given_set,1633,2.4158572250173256
K-HO,K-UPD-HO,annotation,C,response,1600,-18.985327493005315
K-HO,K-UPD-HO,annotation,C,length,1600,-10.89218107202528
K-HO,K-UPD-HO,annotation,C,set_given_length,1600,-8.093146420980045
K-HO,K-UPD-HO,annotation,C,order_given_set,1600,0.0
K-HO,K-UPD-HO,annotation,CD,response,11,0.7447270162973805
K-HO,K-UPD-HO,annotation,CD,length,11,0.14447478630466515
K-HO,K-UPD-HO,annotation,CD,set_given_length,11,0.061319140844667164
K-HO,K-UPD-HO,annotation,CD,order_given_set,11,0.5389330891480477
K-HO,K-UPD-HO,annotation,CDF,response,157,-5.301932922634322
K-HO,K-UPD-HO,annotation,CDF,length,157,-3.4240537559879756
K-HO,K-UPD-HO,annotation,CDF,set_given_length,157,0.0
K-HO,K-UPD-HO,annotation,CDF,order_given_set,157,-1.8778791666463344
K-HO,K-UPD-HO,annotation,CF,response,2324,-5.539683682592517
K-HO,K-UPD-HO,annotation,CF,length,2324,18.757631284935186
K-HO,K-UPD-HO,annotation,CF,set_given_length,2324,-8.708956934097246
K-HO,K-UPD-HO,annotation,CF,order_given_set,2324,-15.58835803343046
K-HO,K-UPD-HO,annotation,CFD,response,14,0.39981685510135767
K-HO,K-UPD-HO,annotation,CFD,length,14,-0.12405918367373803
K-HO,K-UPD-HO,annotation,CFD,set_given_length,14,0.0
K-HO,K-UPD-HO,annotation,CFD,order_given_set,14,0.5238760387750943
K-HO,K-UPD-HO,annotation,D,response,333,-4.160695229652568
K-HO,K-UPD-HO,annotation,D,length,333,-10.422899927871919
K-HO,K-UPD-HO,annotation,D,set_given_length,333,6.2622046982193496
K-HO,K-UPD-HO,annotation,D,order_given_set,333,0.0
K-HO,K-UPD-HO,annotation,DC,response,310,4.168321275736442
K-HO,K-UPD-HO,annotation,DC,length,310,-0.1548764323198526
K-HO,K-UPD-HO,annotation,DC,set_given_length,310,4.19207431956119
K-HO,K-UPD-HO,annotation,DC,order_given_set,310,0.13112338849510644
K-HO,K-UPD-HO,annotation,DCF,response,1271,-14.50309737161581
K-HO,K-UPD-HO,annotation,DCF,length,1271,-11.78255997002308
K-HO,K-UPD-HO,annotation,DCF,set_given_length,1271,0.0
K-HO,K-UPD-HO,annotation,DCF,order_given_set,1271,-2.7205374015927375
K-HO,K-UPD-HO,annotation,DF,response,1023,-37.18065814120118
K-HO,K-UPD-HO,annotation,DF,length,1023,-3.664349051688453
K-HO,K-UPD-HO,annotation,DF,set_given_length,1023,-33.42404484316705
K-HO,K-UPD-HO,annotation,DF,order_given_set,1023,-0.09226424634569247
K-HO,K-UPD-HO,annotation,DFC,response,171,1.3747955385908526
K-HO,K-UPD-HO,annotation,DFC,length,171,-4.110762366734013
K-HO,K-UPD-HO,annotation,DFC,set_given_length,171,0.0
K-HO,K-UPD-HO,annotation,DFC,order_given_set,171,5.485557905324864
K-HO,K-UPD-HO,annotation,F,response,1607,4.564821729534929
K-HO,K-UPD-HO,annotation,F,length,1607,5.640048291448905
K-HO,K-UPD-HO,annotation,F,set_given_length,1607,-1.0752265619139842
K-HO,K-UPD-HO,annotation,F,order_given_set,1607,0.0
K-HO,K-UPD-HO,annotation,FC,response,248,10.823479356011262
K-HO,K-UPD-HO,annotation,FC,length,248,1.1237349048854022
K-HO,K-UPD-HO,annotation,FC,set_given_length,248,0.5255216827770232
K-HO,K-UPD-HO,annotation,FC,order_given_set,248,9.17422276834883
K-HO,K-UPD-HO,annotation,FCD,response,7,-0.006386321726009836
K-HO,K-UPD-HO,annotation,FCD,length,7,-0.07879333532647648
K-HO,K-UPD-HO,annotation,FCD,set_given_length,7,0.0
K-HO,K-UPD-HO,annotation,FCD,order_given_set,7,0.07240701360046709
K-HO,K-UPD-HO,annotation,FD,response,11,0.8073042272048019
K-HO,K-UPD-HO,annotation,FD,length,11,0.011626020414572447
K-HO,K-UPD-HO,annotation,FD,set_given_length,11,-0.19117460131665479
K-HO,K-UPD-HO,annotation,FD,order_given_set,11,0.9868528081068821
K-HO,K-UPD-HO,annotation,FDC,response,13,1.1115990294841316
K-HO,K-UPD-HO,annotation,FDC,length,13,0.17916619392816235
K-HO,K-UPD-HO,annotation,FDC,set_given_length,13,0.0
K-HO,K-UPD-HO,annotation,FDC,order_given_set,13,0.9324328355559715
K-HKO,K-UPD-HKO,combination,color_form,response,3051,14.579988311096482
K-HKO,K-UPD-HKO,combination,color_form,length,3051,11.961893398665365
K-HKO,K-UPD-HKO,combination,color_form,set_given_length,3051,4.5354112117566245
K-HKO,K-UPD-HKO,combination,color_form,order_given_set,3051,-1.9173162993254902
K-HKO,K-UPD-HKO,combination,dimension_color,response,3034,-17.547966666801067
K-HKO,K-UPD-HKO,combination,dimension_color,length,3034,-9.88816463074793
K-HKO,K-UPD-HKO,combination,dimension_color,set_given_length,3034,-6.233915585791401
K-HKO,K-UPD-HKO,combination,dimension_color,order_given_set,3034,-1.4258864502617434
K-HKO,K-UPD-HKO,combination,dimension_form,response,3015,-51.17241047271935
K-HKO,K-UPD-HKO,combination,dimension_form,length,3015,-23.622750603731806
K-HKO,K-UPD-HKO,combination,dimension_form,set_given_length,3015,-29.36935498381151
K-HKO,K-UPD-HKO,combination,dimension_form,order_given_set,3015,1.8196951148239784
K-HKO,K-UPD-HKO,length_observed,1,response,3540,-15.329564732392083
K-HKO,K-UPD-HKO,length_observed,1,length,3540,-13.463857432918743
K-HKO,K-UPD-HKO,length_observed,1,set_given_length,3540,-1.8657072994733448
K-HKO,K-UPD-HKO,length_observed,1,order_given_set,3540,0.0
K-HKO,K-UPD-HKO,length_observed,2,response,3927,-23.034751639422566
K-HKO,K-UPD-HKO,length_observed,2,length,3927,9.19901657467901
K-HKO,K-UPD-HKO,length_observed,2,set_given_length,3927,-29.202152058372945
K-HKO,K-UPD-HKO,length_observed,2,order_given_set,3927,-3.0316161557286163
K-HKO,K-UPD-HKO,length_observed,3,response,1633,-15.776072456609285
K-HKO,K-UPD-HKO,length_observed,3,length,1633,-17.28418097757464
K-HKO,K-UPD-HKO,length_observed,3,set_given_length,1633,0.0
K-HKO,K-UPD-HKO,length_observed,3,order_given_set,1633,1.5081085209653606
K-HKO,K-UPD-HKO,annotation,C,response,1600,-18.613721838114262
