relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_f2,d_v1,d_f2
both,sharp,5,0.0,0.0,0.0,C,0.17481113320079522,0.07773359840954275,0.17481113320079522,0.07773359840954275
both,sharp,6,6.0,503.0,0.011928429423459244,CD,0.015019880715705765,0.007529949834670732,0.0030914512922465207,-0.004398479588788512
both,sharp,7,14.0,503.0,0.027833001988071572,CDF,0.02618290258449304,0.008871394747095317,-0.0016500994035785303,-0.018961607240976255
both,sharp,8,102.0,503.0,0.20278330019880716,CF,0.17297216699801193,0.20693836978131214,-0.02981113320079523,0.004155069582504972
both,sharp,9,2.0,503.0,0.003976143141153081,CFD,0.016928429423459245,0.00926441351888668,0.012952286282306165,0.005288270377733598
both,sharp,10,42.0,503.0,0.08349900596421471,F,0.015039761431411532,0.05886679920477137,-0.06845924453280318,-0.02463220675944334
both,sharp,11,0.0,0.0,0.0,FD,0.015328031809145128,0.007053424136034854,0.015328031809145128,0.007053424136034854
both,sharp,12,0.0,0.0,0.0,FDC,0.014801192842942346,0.00823629650667424,0.014801192842942346,0.00823629650667424
both,sharp,13,11.0,503.0,0.02186878727634195,FC,0.01614314115308151,0.009207381970801454,-0.005725646123260441,-0.012661405305540496
both,sharp,14,1.0,503.0,0.0019880715705765406,FCD,0.014542743538767396,0.009544772183227168,0.012554671968190855,0.007556700612650628
first,blurred,0,31.0,554.0,0.05595667870036101,D,0.19459386281588448,0.059575812274368235,0.13863718411552348,0.0036191335740072272
first,blurred,1,24.0,554.0,0.04332129963898917,DC,0.17932310469314078,0.07164259927797834,0.1360018050541516,0.02832129963898917
first,blurred,2,166.0,554.0,0.2996389891696751,DCF,0.1525451263537906,0.24756317689530685,-0.14709386281588446,-0.05207581227436822
first,blurred,3,202.0,554.0,0.36462093862815886,DF,0.08105595667870036,0.3435018050541516,-0.2835649819494585,-0.021119133574007243
first,blurred,4,18.0,554.0,0.032490974729241874,DFC,0.18733754512635378,0.015595667870036101,0.15484657039711192,-0.016895306859205775
first,blurred,5,3.0,554.0,0.005415162454873646,C,0.03595667870036101,0.0173014440433213,0.030541516245487364,0.011886281588447654
first,blurred,6,1.0,554.0,0.0018050541516245488,CD,0.015342960288808665,0.0069163044279083475,0.013537906137184117,0.005111250276283799
first,blurred,7,22.0,554.0,0.039711191335740074,CDF,0.01546028880866426,0.006317689530685921,-0.024250902527075815,-0.033393501805054154
first,blurred,8,48.0,554.0,0.08664259927797834,CF,0.038528880866425995,0.08600180505415161,-0.04811371841155234,-0.0006407942238267211
first,blurred,9,0.0,0.0,0.0,CFD,0.015568592057761732,0.008150372062182273,0.015568592057761732,0.008150372062182273
first,blurred,10,21.0,554.0,0.03790613718411552,F,0.014485559566787003,0.08226534296028881,-0.02342057761732852,0.04435920577617329
first,blurred,11,5.0,554.0,0.009025270758122744,FD,0.015072202166064981,0.009261106978938012,0.0060469314079422375,0.00023583622081526853
first,blurred,12,2.0,554.0,0.0036101083032490976,FDC,0.01743682310469314,0.028276173285198554,0.013826714801444043,0.024666064981949457
first,blurred,13,9.0,554.0,0.016245487364620937,FC,0.02220216606498195,0.008328904689475709,0.005956678700361012,-0.007916582675145228
first,blurred,14,2.0,554.0,0.0036101083032490976,FCD,0.015090252707581226,0.009950474393628794,0.011480144404332128,0.006340366090379696
first,sharp,0,135.0,502.0,0.2689243027888446,D,0.21360557768924301,0.10166334661354581,-0.05531872509960159,-0.1672609561752988
first,sharp,1,23.0,502.0,0.045816733067729085,DC,0.1552788844621514,0.0748207171314741,0.10946215139442232,0.02900398406374502
first,sharp,2,103.0,502.0,0.2051792828685259,DCF,0.13612549800796814,0.18509960159362548,-0.06905378486055777,-0.020079681274900424
