relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_v5,d_v1,d_v5
first,sharp,9,1.0,502.0,0.00199203187250996,CFD,0.015189243027888447,0.013276892430278884,0.013197211155378486,0.011284860557768924
first,sharp,10,51.0,502.0,0.10159362549800798,F,0.014452191235059761,0.012848605577689243,-0.08714143426294821,-0.08874501992031873
first,sharp,11,1.0,502.0,0.00199203187250996,FD,0.015255560671885323,0.011982071713147411,0.013263528799375363,0.009990039840637451
first,sharp,12,0.0,0.0,0.0,FDC,0.01840637450199203,0.024920318725099602,0.01840637450199203,0.024920318725099602
first,sharp,13,5.0,502.0,0.0099601593625498,FC,0.02049800796812749,0.03338645418326693,0.01053784860557769,0.023426294820717133
first,sharp,14,0.0,0.0,0.0,FCD,0.01495019920318725,0.012412660914132415,0.01495019920318725,0.012412660914132415
second,blurred,0,0.0,0.0,0.0,D,0.0191358024691358,0.01246031746031746,0.0191358024691358,0.01246031746031746
second,blurred,1,0.0,0.0,0.0,DC,0.04829805996472663,0.017513227513227512,0.04829805996472663,0.017513227513227512
second,blurred,2,15.0,567.0,0.026455026455026454,DCF,0.04397707231040564,0.016049382716049384,0.017522045855379184,-0.01040564373897707
second,blurred,3,0.0,0.0,0.0,DF,0.015731922398589063,0.011698705166041849,0.015731922398589063,0.011698705166041849
second,blurred,4,8.0,567.0,0.014109347442680775,DFC,0.01591710758377425,0.012469135802469136,0.0018077601410934757,-0.0016402116402116397
second,blurred,5,356.0,567.0,0.6278659611992945,C,0.4024691358024691,0.4163403880070547,-0.22539682539682537,-0.2115255731922398
second,blurred,6,0.0,0.0,0.0,CD,0.015846560846560845,0.01484126984126984,0.015846560846560845,0.01484126984126984
second,blurred,7,3.0,567.0,0.005291005291005291,CDF,0.10564373897707231,0.11983245149911817,0.10035273368606702,0.11454144620811288
second,blurred,8,149.0,567.0,0.26278659611992944,CF,0.23803350970017637,0.29641093474426805,-0.024753086419753073,0.03362433862433861
