relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_c1,d_v1,d_c1
second,sharp,5,361.0,504.0,0.7162698412698413,C,0.4033035714285715,0.6421230158730158,-0.3129662698412698,-0.07414682539682549
second,sharp,6,0.0,0.0,0.0,CD,0.014613095238095238,0.007751459823998684,0.014613095238095238,0.007751459823998684
second,sharp,7,2.0,504.0,0.003968253968253968,CDF,0.10792658730158729,0.009034324389654338,0.10395833333333332,0.00506607042140037
second,sharp,8,116.0,504.0,0.23015873015873015,CF,0.23963293650793652,0.2358829365079365,0.009474206349206371,0.005724206349206368
second,sharp,9,0.0,0.0,0.0,CFD,0.01907738095238095,0.00855780022446689,0.01907738095238095,0.00855780022446689
second,sharp,10,10.0,504.0,0.01984126984126984,F,0.015376984126984126,0.016488095238095236,-0.004464285714285714,-0.0033531746031746044
second,sharp,11,0.0,0.0,0.0,FD,0.014067460317460317,0.0071772756721736304,0.014067460317460317,0.0071772756721736304
second,sharp,12,0.0,0.0,0.0,FDC,0.015396825396825395,0.007213128306878307,0.015396825396825395,0.007213128306878307
second,sharp,13,10.0,504.0,0.01984126984126984,FC,0.016765873015873015,0.007397232397232397,-0.003075396825396825,-0.012444037444037444
second,sharp,14,0.0,0.0,0.0,FCD,0.015496031746031744,0.007404680085092456,0.015496031746031744,0.007404680085092456
