relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_v5,d_v1,d_v5
second,blurred,8,149.0,567.0,0.26278659611992944,CF,0.23803350970017637,0.2592857142857143,-0.024753086419753073,-0.0035008818342151526
second,blurred,10,25.0,567.0,0.04409171075837742,F,0.015229276895943562,0.01482363315696649,-0.02886243386243386,-0.02926807760141093
second,blurred,2,15.0,567.0,0.026455026455026454,DCF,0.04397707231040564,0.04279541446208112,0.017522045855379184,0.016340388007054667
second,blurred,13,11.0,567.0,0.019400352733686066,FC,0.01649911816578483,0.016790123456790124,-0.0029012345679012355,-0.0026102292768959423
second,blurred,4,8.0,567.0,0.014109347442680775,DFC,0.01591710758377425,0.015828924162257493,0.0018077601410934757,0.001719576719576718
second,blurred,7,3.0,567.0,0.005291005291005291,CDF,0.10564373897707231,0.10358024691358024,0.10035273368606702,0.09828924162257495
second,blurred,0,0.0,0.0,0.0,D,0.0191358024691358,0.019303350970017636,0.0191358024691358,0.019303350970017636
second,blurred,1,0.0,0.0,0.0,DC,0.04829805996472663,0.051798941798941796,0.04829805996472663,0.051798941798941796
second,blurred,3,0.0,0.0,0.0,DF,0.015731922398589063,0.015599647266313932,0.015731922398589063,0.015599647266313932
second,blurred,6,0.0,0.0,0.0,CD,0.015846560846560845,0.015273368606701938,0.015846560846560845,0.015273368606701938
second,blurred,9,0.0,0.0,0.0,CFD,0.018738977072310405,0.019611992945326277,0.018738977072310405,0.019611992945326277
second,blurred,11,0.0,0.0,0.0,FD,0.014867724867724868,0.014708994708994706,0.014867724867724868,0.014708994708994706
second,blurred,12,0.0,0.0,0.0,FDC,0.015149911816578482,0.01476190476190476,0.015149911816578482,0.01476190476190476
second,blurred,14,0.0,0.0,0.0,FCD,0.014462081128747795,0.014250440917107582,0.014462081128747795,0.014250440917107582
second,sharp,5,361.0,504.0,0.7162698412698413,C,0.4033035714285715,0.38495039682539683,-0.3129662698412698,-0.33131944444444444
second,sharp,8,116.0,504.0,0.23015873015873015,CF,0.23963293650793652,0.26034722222222223,0.009474206349206371,0.030188492063492084
second,sharp,10,10.0,504.0,0.01984126984126984,F,0.015376984126984126,0.014712301587301586,-0.004464285714285714,-0.005128968253968254
second,sharp,13,10.0,504.0,0.01984126984126984,FC,0.016765873015873015,0.016666666666666666,-0.003075396825396825,-0.0031746031746031737
second,sharp,4,3.0,504.0,0.005952380952380952,DFC,0.01595238095238095,0.015218253968253968,0.009999999999999998,0.009265873015873016
second,sharp,7,2.0,504.0,0.003968253968253968,CDF,0.10792658730158729,0.10490079365079366,0.10395833333333332,0.1009325396825397
second,sharp,1,1.0,504.0,0.001984126984126984,DC,0.04642857142857142,0.049553571428571426,0.04444444444444444,0.04756944444444444
second,sharp,2,1.0,504.0,0.001984126984126984,DCF,0.041696428571428565,0.038869047619047616,0.03971230158730158,0.03688492063492063
second,sharp,0,0.0,0.0,0.0,D,0.019484126984126982,0.01968253968253968,0.019484126984126982,0.01968253968253968
second,sharp,3,0.0,0.0,0.0,DF,0.01478174603174603,0.01548611111111111,0.01478174603174603,0.01548611111111111
second,sharp,6,0.0,0.0,0.0,CD,0.014613095238095238,0.01501984126984127,0.014613095238095238,0.01501984126984127
second,sharp,9,0.0,0.0,0.0,CFD,0.01907738095238095,0.019791666666666666,0.01907738095238095,0.019791666666666666
second,sharp,11,0.0,0.0,0.0,FD,0.014067460317460317,0.014573412698412698,0.014067460317460317,0.014573412698412698
second,sharp,12,0.0,0.0,0.0,FDC,0.015396825396825395,0.014950396825396825,0.015396825396825395,0.014950396825396825
second,sharp,14,0.0,0.0,0.0,FCD,0.015496031746031744,0.015277777777777777,0.015496031746031744,0.015277777777777777
