relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_v5,d_v1,d_v5
first,sharp,0,135.0,502.0,0.2689243027888446,D,0.21360557768924301,0.07971115537848605,-0.05531872509960159,-0.18921314741035855
first,sharp,1,23.0,502.0,0.045816733067729085,DC,0.1552788844621514,0.18592629482071715,0.10946215139442232,0.14010956175298805
first,sharp,2,103.0,502.0,0.2051792828685259,DCF,0.13612549800796814,0.14276892430278884,-0.06905378486055777,-0.06241035856573707
first,sharp,3,116.0,502.0,0.23107569721115537,DF,0.09018924302788844,0.1596613545816733,-0.14088645418326692,-0.07141434262948207
first,sharp,4,11.0,502.0,0.021912350597609563,DFC,0.20806772908366533,0.20082669322709162,0.18615537848605576,0.17891434262948205
first,sharp,5,0.0,0.0,0.0,C,0.03325697211155378,0.023575697211155378,0.03325697211155378,0.023575697211155378
first,sharp,6,0.0,0.0,0.0,CD,0.014770916334661354,0.010841057879036617,0.014770916334661354,0.010841057879036617
first,sharp,7,9.0,502.0,0.017928286852589643,CDF,0.015268924302788844,0.011117147571330838,-0.002659362549800799,-0.006811139281258805
first,sharp,8,47.0,502.0,0.09362549800796813,CF,0.034760956175298806,0.0674800796812749,-0.05886454183266932,-0.02614541832669323
first,sharp,9,1.0,502.0,0.00199203187250996,CFD,0.015189243027888447,0.016464143426294823,0.013197211155378486,0.014472111553784863
first,sharp,10,51.0,502.0,0.10159362549800798,F,0.014452191235059761,0.011394422310756974,-0.08714143426294821,-0.090199203187251
first,sharp,11,1.0,502.0,0.00199203187250996,FD,0.015255560671885323,0.011001221245670583,0.013263528799375363,0.009009189373160623
first,sharp,12,0.0,0.0,0.0,FDC,0.01840637450199203,0.032858565737051794,0.01840637450199203,0.032858565737051794
first,sharp,13,5.0,502.0,0.0099601593625498,FC,0.02049800796812749,0.03398406374501992,0.01053784860557769,0.024023904382470124
first,sharp,14,0.0,0.0,0.0,FCD,0.01495019920318725,0.012672926384912611,0.01495019920318725,0.012672926384912611
second,blurred,0,0.0,0.0,0.0,D,0.0191358024691358,0.012434305566633873,0.0191358024691358,0.012434305566633873
second,blurred,1,0.0,0.0,0.0,DC,0.04829805996472663,0.012592592592592591,0.04829805996472663,0.012592592592592591
second,blurred,2,15.0,567.0,0.026455026455026454,DCF,0.04397707231040564,0.011175808495741494,0.017522045855379184,-0.01527921795928496
second,blurred,3,0.0,0.0,0.0,DF,0.015731922398589063,0.010943562610229276,0.015731922398589063,0.010943562610229276
second,blurred,4,8.0,567.0,0.014109347442680775,DFC,0.01591710758377425,0.010529100529100529,0.0018077601410934757,-0.0035802469135802466
second,blurred,5,356.0,567.0,0.6278659611992945,C,0.4024691358024691,0.6241093474426808,-0.22539682539682537,-0.003756613756613736
second,blurred,6,0.0,0.0,0.0,CD,0.015846560846560845,0.020652557319223983,0.015846560846560845,0.020652557319223983
second,blurred,7,3.0,567.0,0.005291005291005291,CDF,0.10564373897707231,0.014250440917107582,0.10035273368606702,0.008959435626102292
second,blurred,8,149.0,567.0,0.26278659611992944,CF,0.23803350970017637,0.2185890652557319,-0.024753086419753073,-0.04419753086419753
second,blurred,9,0.0,0.0,0.0,CFD,0.018738977072310405,0.011552028218694886,0.018738977072310405,0.011552028218694886
second,blurred,10,25.0,567.0,0.04409171075837742,F,0.015229276895943562,0.010457933406007109,-0.02886243386243386,-0.03363377735237032
second,blurred,11,0.0,0.0,0.0,FD,0.014867724867724868,0.010811287477954144,0.014867724867724868,0.010811287477954144
second,blurred,12,0.0,0.0,0.0,FDC,0.015149911816578482,0.01122012177288559,0.015149911816578482,0.01122012177288559
second,blurred,13,11.0,567.0,0.019400352733686066,FC,0.01649911816578483,0.010617283950617283,-0.0029012345679012355,-0.008783068783068783
second,blurred,14,0.0,0.0,0.0,FCD,0.014462081128747795,0.01029100529100529,0.014462081128747795,0.01029100529100529
second,sharp,0,0.0,0.0,0.0,D,0.019484126984126982,0.013134920634920635,0.019484126984126982,0.013134920634920635
second,sharp,1,1.0,504.0,0.001984126984126984,DC,0.04642857142857142,0.013859126984126984,0.04444444444444444,0.011875
second,sharp,2,1.0,504.0,0.001984126984126984,DCF,0.041696428571428565,0.010927654143734545,0.03971230158730158,0.008943527159607561
second,sharp,3,0.0,0.0,0.0,DF,0.01478174603174603,0.011448412698412697,0.01478174603174603,0.011448412698412697
second,sharp,4,3.0,504.0,0.005952380952380952,DFC,0.01595238095238095,0.01110712291616814,0.009999999999999998,0.005154741963787188
second,sharp,5,361.0,504.0,0.7162698412698413,C,0.4033035714285715,0.6201190476190476,-0.3129662698412698,-0.09615079365079371
second,sharp,6,0.0,0.0,0.0,CD,0.014613095238095238,0.019761904761904762,0.014613095238095238,0.019761904761904762
second,sharp,7,2.0,504.0,0.003968253968253968,CDF,0.10792658730158729,0.014146825396825395,0.10395833333333332,0.010178571428571427
second,sharp,8,116.0,504.0,0.23015873015873015,CF,0.23963293650793652,0.21958333333333332,0.009474206349206371,-0.010575396825396821
second,sharp,9,0.0,0.0,0.0,CFD,0.01907738095238095,0.011240079365079364,0.01907738095238095,0.011240079365079364
second,sharp,10,10.0,504.0,0.01984126984126984,F,0.015376984126984126,0.01070830342187126,-0.004464285714285714,-0.00913296641939858
second,sharp,11,0.0,0.0,0.0,FD,0.014067460317460317,0.010773809523809524,0.014067460317460317,0.010773809523809524
second,sharp,12,0.0,0.0,0.0,FDC,0.015396825396825395,0.011149383611312545,0.015396825396825395,0.011149383611312545
second,sharp,13,10.0,504.0,0.01984126984126984,FC,0.016765873015873015,0.011349206349206348,-0.003075396825396825,-0.008492063492063492
second,sharp,14,0.0,0.0,0.0,FCD,0.015496031746031744,0.011021825396825396,0.015496031746031744,0.011021825396825396
