candidate,baseline,semantics,sufficient_single_boost,reliability_form_boost,nonsufficient_colour_penalty,utterance_rmse_gain,category_rmse_gain,target_abs_residual_reduction_mean,target_worst_abs_residual_harm,target_harm_ok,forward_gate_pass,rank_score,recommended_for_gpu_pilot,utterance_rmse_gate,category_rmse_gate,target_residual_gate,max_target_harm
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,3.0,0.0,1.5,0.015768249783834246,0.023043429045277702,0.06553713118116046,0.5179085023701191,False,False,0.10434881001027241,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,3.0,0.0,1.5,0.015737032624947328,0.0230155293299888,0.0655034045448401,0.5179033875465393,False,False,0.10425596649977623,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,3.0,0.5,0.0,0.022492201226011588,0.02741865621649832,0.05348624687100435,0.4108112044632435,False,False,0.10339710431351426,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,3.0,0.5,0.0,0.022466910039208324,0.027406963666825983,0.053455988759348635,0.41076382994651794,False,False,0.10332986246538295,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.5,0.5,0.011370070802076873,0.009437299474893114,0.08189754014816937,0.031174552346032752,True,True,0.10270491042513935,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.5,0.5,0.011373550517979988,0.009432953772869093,0.08188531933334527,0.03117431765274395,True,True,0.10269182362419435,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,2.0,0.0,0.0,0.025516107025757004,0.044664033328661756,0.031457364288258495,0.25491856411099434,False,False,0.10163750464267726,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,2.0,0.0,0.0,0.02549699849635259,0.04464011662347433,0.03143833792685265,0.25491461157798767,False,False,0.10157545304667957,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,2.0,0.008174082896717894,0.005507699021957586,0.08255097238819988,0.06566007314102043,False,False,0.09623275430687536,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0,2.0,0.008166045305092087,0.005503314628208404,0.0825462177070597,0.06566012529508461,False,False,0.09621557764036018,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,0.007748977378963309,0.006218201220933861,0.07220031243290694,0.054632753784221305,False,False,0.0861674910328041,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0,1.5,0.007741672180101605,0.0062140233630233604,0.0721960701654473,0.05463281152622093,False,False,0.08615176570857226,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,3.0,0.0,1.0,0.015135273773394353,0.018665362196602267,0.04977259363437677,0.5134976990520954,False,False,0.08357322960437338,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,3.0,0.0,1.0,0.015104007706126354,0.018637611167493802,0.049738612281332265,0.5134927034378052,False,False,0.08348023115495243,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.5,0.0,0.008544796659487125,0.0076016852120015035,0.05558220943418202,0.019055139273405075,True,True,0.07172869130567064,False,0.005,0.02,0.03,0.05
