variant,baseline,semantics,lambda_size_sharp_single_bonus,lambda_size_sharp_form_pair_penalty,condition_rmse,baseline_condition_rmse,condition_rmse_delta,first_sharp_DF_abs_residual,first_sharp_DF_baseline_abs_residual,first_sharp_DF_abs_residual_reduction,first_sharp_D_abs_residual,first_sharp_D_baseline_abs_residual,first_sharp_D_abs_residual_reduction,second_sharp_CF_abs_residual,second_sharp_CF_baseline_abs_residual,second_sharp_CF_abs_residual_worsening,full_inference_gate,gate_reason,rank_score,recommended_for_gpu_pilot,first_sharp_df_gate,first_sharp_d_gate,second_sharp_cf_max_worsening,max_condition_rmse_delta
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.5,0.03666992370193989,0.042275373226354454,-0.005605449524414566,0.09942406663099082,0.2156961331092029,0.11627206647821209,0.1315905003436285,0.1558385038696437,0.024248003526015194,0.08607315403878207,0.08607314408771574,9.951066332059e-09,fail,failed gate: first/sharp D residual,0.14052007000422728,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.5,0.03661261809643994,0.042117203349869105,-0.005504585253429166,0.0975359107828854,0.2135669657908588,0.1160310550079734,0.13161358469622675,0.15574414971696426,0.024130565020737516,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,fail,failed gate: first/sharp D residual,0.1401616200287109,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,2.5,0.041617087486375555,0.042275373226354454,-0.0006582857399788991,0.1675853562675152,0.2156961331092029,0.048110776841687714,0.07592292049140922,0.1558385038696437,0.07991558337823448,0.08607315403878207,0.08607314408771574,9.951066332059e-09,fail,failed gate: first/sharp DF residual,0.1280263602199222,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,2.0,0.0,0.04014077723470387,0.042275373226354454,-0.002134595991650584,0.029679904772194815,0.2156961331092029,0.1860162283370081,0.21519367098090814,0.1558385038696437,-0.05935516711126443,0.08607315403878207,0.08607314408771574,9.951066332059e-09,fail,failed gate: first/sharp D residual,0.12666106122574367,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,2.0,0.0,0.040068887555281346,0.042117203349869105,-0.0020483157945877586,0.028354620259641944,0.2135669657908588,0.18521234553121685,0.21543187143340026,0.15574414971696426,-0.05968772171643599,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,fail,failed gate: first/sharp D residual,0.12552462381478086,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,2.5,0.04171976036249965,0.042117203349869105,-0.0003974429873694549,0.16808365866352798,0.2135669657908588,0.04548330712733081,0.0763870692075515,0.15574414971696426,0.07935708050941276,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,fail,failed gate: first/sharp DF residual,0.12484038763674357,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,1.5,1.0,0.03826297477881987,0.042275373226354454,-0.004012398447534586,0.08133054367970236,0.2156961331092029,0.13436558942950055,0.18757591219626524,0.1558385038696437,-0.03173740832662153,0.08607315403878207,0.08607314408771574,9.951066332059e-09,fail,failed gate: first/sharp D residual,0.10262818110287902,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.5,1.0,0.038217282468497815,0.042117203349869105,-0.0038999208813712896,0.08225338902940271,0.2135669657908588,0.13131357676145608,0.18728213163967522,0.15574414971696426,-0.031537981922710956,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,fail,failed gate: first/sharp D residual,0.09977559483874512,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.0,0.03849646634102402,0.042275373226354454,-0.0037789068853304325,0.18543606517728176,0.2156961331092029,0.030260067931921153,0.09531178240540009,0.1558385038696437,0.06052672146424362,0.08607315403878207,0.08607314408771574,9.951066332059e-09,fail,failed gate: first/sharp DF residual,0.09078678939616477,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.5,0.0,0.03833788937377129,0.042117203349869105,-0.003779313976097813,0.18342984348706967,0.2135669657908588,0.03013712230378912,0.09517650594768526,0.15574414971696426,0.060567643769279006,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,fail,failed gate: first/sharp DF residual,0.09070476607306813,False,0.05,0.04,0.015,0.001
