relevant_property,sharpness,utterance_label,model_proportion,utterance_code,model,semantics,lambda_size_sharp_single_bonus,lambda_size_sharp_form_pair_penalty,empirical_proportion,condition_n,signed_residual,abs_residual
first,sharp,FCD,0.0008645131019875407,14,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,502,0.0008645131019875407,0.0008645131019875407
first,sharp,FD,0.005116582848131657,11,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.00199203187250996,502,0.0031245509756216965,0.0031245509756216965
first,sharp,FDC,0.004143960773944855,12,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,502,0.004143960773944855,0.004143960773944855
second,blurred,C,0.7101012468338013,5,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.6278659611992945,567,0.08223528563450677,0.08223528563450677
second,blurred,CD,0.007577142678201199,6,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,567,0.007577142678201199,0.007577142678201199
second,blurred,CDF,0.015032660216093063,7,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.005291005291005291,567,0.009741654925087773,0.009741654925087773
second,blurred,CF,0.17232100665569305,8,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.26278659611992944,567,-0.09046558946423638,0.09046558946423638
second,blurred,CFD,0.009111166000366211,9,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,567,0.009111166000366211,0.009111166000366211
second,blurred,D,0.006735539063811302,0,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,567,0.006735539063811302,0.006735539063811302
second,blurred,DC,0.034890588372945786,1,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,567,0.034890588372945786,0.034890588372945786
second,blurred,DCF,0.018022336065769196,2,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.026455026455026454,567,-0.008432690389257258,0.008432690389257258
second,blurred,DF,0.004119861405342817,3,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,567,0.004119861405342817,0.004119861405342817
second,blurred,DFC,0.0010167824802920222,4,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.014109347442680775,567,-0.013092564962388753,0.013092564962388753
second,blurred,F,0.00887427106499672,10,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.04409171075837742,567,-0.0352174396933807,0.0352174396933807
second,blurred,FC,0.01130141131579876,13,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.019400352733686066,567,-0.008098941417887306,0.008098941417887306
second,blurred,FCD,0.000583718647249043,14,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,567,0.000583718647249043,0.000583718647249043
second,blurred,FD,0.00014618990826420486,11,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,567,0.00014618990826420486,0.00014618990826420486
second,blurred,FDC,0.00016606849385425448,12,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,567,0.00016606849385425448,0.00016606849385425448
second,sharp,C,0.707683265209198,5,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.7162698412698413,504,-0.00858657606064328,0.00858657606064328
second,sharp,CD,0.009143293835222721,6,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,504,0.009143293835222721,0.009143293835222721
second,sharp,CDF,0.018153635784983635,7,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.003968253968253968,504,0.014185381816729667,0.014185381816729667
second,sharp,CF,0.1443067044019699,8,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.23015873015873015,504,-0.08585202575676024,0.08585202575676024
second,sharp,CFD,0.007635429035872221,9,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,504,0.007635429035872221,0.007635429035872221
second,sharp,D,0.009611972607672215,0,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,504,0.009611972607672215,0.009611972607672215
second,sharp,DC,0.04997057095170021,1,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.001984126984126984,504,0.04798644396757323,0.04798644396757323
second,sharp,DCF,0.025831567123532295,2,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.001984126984126984,504,0.02384744013940531,0.02384744013940531
second,sharp,DF,0.00577062601223588,3,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,504,0.00577062601223588,0.00577062601223588
second,sharp,DFC,0.0014203255996108055,4,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.005952380952380952,504,-0.0045320553527701465,0.0045320553527701465
second,sharp,F,0.008706294000148773,10,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.01984126984126984,504,-0.011134975841121067,0.011134975841121067
second,sharp,FC,0.010807196609675884,13,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.01984126984126984,504,-0.009034073231593956,0.009034073231593956
second,sharp,FCD,0.0005614490364678204,14,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,504,0.0005614490364678204,0.0005614490364678204
second,sharp,FD,0.00017943911370821297,11,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,504,0.00017943911370821297,0.00017943911370821297
second,sharp,FDC,0.00021828655735589564,12,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,504,0.00021828655735589564,0.00021828655735589564
both,blurred,C,0.06184489894248556,5,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0088339222614841,566,0.05301097668100146,0.05301097668100146
both,blurred,CD,0.0062150076348693436,6,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0088339222614841,566,-0.0026189146266147557,0.0026189146266147557
both,blurred,CDF,0.08116272358918507,7,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.05123674911660778,566,0.02992597447257729,0.02992597447257729
both,blurred,CF,0.26189869878783417,8,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.2703180212014134,566,-0.008419322413579233,0.008419322413579233
both,blurred,CFD,0.028240909914362806,9,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0035335689045936395,566,0.024707341009769165,0.024707341009769165
