base_d,base_c,base_f,lambda_scale,rho_scale,beta_scale,color_sem,stage,r,r2,mae,rmse,second_c_abs,second_c_signed,both_c_abs,both_c_signed,first_c_abs,balanced_loss
0.0,1.6,0.0,1.0,1.25,1.0,0.8,top_base_param_grid,0.615023759009368,0.3782542241460132,0.05961400156216843,0.1097165881833144,0.07287644420141054,-0.07287644420141054,0.4596206062463484,0.4596206062463484,0.12005796357451363,0.4124033355078991
0.0,1.6,0.0,1.0,1.25,1.0,0.7,top_base_param_grid,0.6165582224987076,0.3801440417307658,0.06000371603817285,0.10800416666969845,0.08783509407514406,-0.08783509407514406,0.4334323369888029,0.4334323369888029,0.14600809364972994,0.41255542923924393
0.3,1.9,0.25,0.75,1.25,1.0,0.7,top_base_param_grid,0.6581198473927248,0.43312173353222333,0.05848362582158558,0.09869150164696182,0.14766111050123049,-0.14766111050123049,0.3324142807153425,0.3324142807153425,0.10226852893291398,0.4125597525058636
0.0,2.2,0.0,0.75,1.25,1.15,0.59,top_base_param_grid,0.599792353469727,0.35975086728075395,0.06178524570569378,0.10952344714508588,0.10594080958837343,-0.10594080958837343,0.3948908113864622,0.3948908113864622,0.1812293723171799,0.4129096624266904
0.3,2.2,0.25,0.75,1.0,1.15,0.8,top_base_param_grid,0.651837670079906,0.4248923481352004,0.05737435045139015,0.10181935733446082,0.121813913922251,-0.121813913922251,0.37861078614270305,0.37861078614270305,0.09173557608781739,0.41293866432806337
0.3,1.6,0.0,1.25,1.25,1.0,0.8,top_base_param_grid,0.5809365046391233,0.3374872224223221,0.0642443198971658,0.11728001408342673,0.05724506650441957,-0.05724506650441957,0.4773473256257735,0.4773473256257735,0.11327698528228684,0.41319874340073304
0.3,1.6,0.0,1.0,1.0,1.15,0.8,top_base_param_grid,0.6478408740548658,0.41969779809617247,0.05912170678720667,0.10279872987466815,0.13551904831403566,-0.13551904831403566,0.3500999622968397,0.3500999622968397,0.06688685416637345,0.41336775933712366
0.3,1.9,0.0,0.75,1.0,1.0,0.8,top_base_param_grid,0.6477309064881097,0.41955532721990835,0.059553613142442605,0.10142490288843453,0.13407658610814882,-0.13407658610814882,0.3564495855001173,0.3564495855001173,0.08306607677994653,0.413726281746642
0.0,1.6,0.0,0.75,1.25,1.0,0.7,top_base_param_grid,0.6636637493375009,0.44044957218470926,0.05789272896711096,0.09769876985583224,0.15155320439809633,-0.15155320439809633,0.32983186477696513,0.32983186477696513,0.1014074318057148,0.41416790664241115
0.3,1.9,0.25,0.75,1.25,0.85,0.7,top_base_param_grid,0.6458657501179701,0.4171425671754482,0.05914516854028398,0.1002436543220067,0.13317742023938967,-0.13317742023938967,0.36208283537900066,0.36208283537900066,0.12128513380347176,0.4144624922508967
0.0,1.9,0.0,0.75,1.0,1.15,0.8,top_base_param_grid,0.6567786080140798,0.43135813994491234,0.05682730372708425,0.10083841292118015,0.1256407109307654,-0.1256407109307654,0.37607268625771617,0.37607268625771617,0.09110984280167504,0.41451546698080366
0.0,2.2,0.0,0.75,1.0,1.15,0.8,top_base_param_grid,0.6197018096871408,0.3840303329295173,0.05862239642989778,0.10868405314348373,0.08593293104642702,-0.08593293104642702,0.44018578166043376,0.44018578166043376,0.12454712464867516,0.4147098750201276
0.3,2.2,0.25,1.0,1.25,1.0,0.59,top_base_param_grid,0.5677893595353396,0.32238475680155115,0.06398188964133959,0.11715976290126492,0.05707364354604555,-0.05707364354604555,0.48112816745316606,0.48112816745316606,0.23528566657958908,0.4147974901738935
0.3,1.9,0.25,0.75,1.25,1.15,0.7,top_base_param_grid,0.6627731716213138,0.43926827702097543,0.058194256497892165,0.09820893053434586,0.16756184969419313,-0.16756184969419313,0.29894998306309795,0.29894998306309795,0.08458795844970628,0.415245771760088
0.3,1.9,0.0,1.0,1.25,0.85,0.59,top_base_param_grid,0.5705642804905936,0.32554359817174877,0.06589446648167205,0.11451288407410613,0.0794092324780829,-0.0794092324780829,0.44271851712739085,0.44271851712739085,0.20129628180919573,0.4152813751158845
0.0,2.2,0.0,0.75,1.25,0.85,0.59,top_base_param_grid,0.5690135204905868,0.3237763865010915,0.06347809066028937,0.11447986630356623,0.07307969604009462,-0.07307969604009462,0.45564102763211345,0.45564102763211345,0.23958573191820068,0.41538007615971756
0.3,2.2,0.25,1.0,1.25,1.15,0.7,top_base_param_grid,0.5836573808780844,0.34065593825346524,0.0623928303015547,0.11699225807690378,0.052968978619028884,-0.04361497436040712,0.4910954796699248,0.4910954796699248,0.18226923494993136,0.415508976530895
