model,semantics,sufficient_form_pair_boost,three_word_penalty,summary_type,scope,n_cells,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.25,order,overall,24,0.062349346604114564,0.0865263569827414,0.0722721302060217
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.25,overinformativeness,overall,14,0.0867672893062493,0.10466850808727228,0.03573929417582938
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.25,selection,overall,24,0.058028717554424895,0.07348207211483905,0.09077109555845007
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.5,length,overall,18,0.07530424979020564,0.09143041113675725,0.05292924263788769
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.5,order,overall,24,0.06769732249728765,0.08890350566355183,0.07470167780185927
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.5,overinformativeness,overall,14,0.08151546592970282,0.09610913758812513,0.03192744305470314
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.5,selection,overall,24,0.06167529008412879,0.07805628264017282,0.09807135364544847
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.75,length,overall,18,0.07269605510637306,0.08425146060820243,0.04634969897433141
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.75,order,overall,24,0.07260521872141094,0.09285487043130064,0.07915785879152308
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.75,overinformativeness,overall,14,0.0843740225656283,0.09729659046983358,0.03416641640736251
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.75,selection,overall,24,0.06500490655909057,0.0834669376694041,0.10671029899350695
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,1.0,length,overall,18,0.07969641775837588,0.08983531359409712,0.0502180353799139
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,1.0,order,overall,24,0.07701482017497861,0.09773081920613819,0.08495000152822324
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,1.0,overinformativeness,overall,14,0.09664611085164738,0.1062468221582541,0.041750709289290415
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,1.0,selection,overall,24,0.07002486287242014,0.08918256953974997,0.11596370654121146
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.0,length,overall,18,0.10991250703865504,0.13000877218376283,0.08991356786975896
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.0,order,overall,24,0.056244573659922914,0.0846877345927154,0.06747641157408271
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.0,overinformativeness,overall,14,0.09929359540288869,0.12204846002243404,0.04685305253702727
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.0,selection,overall,24,0.053832891264242115,0.06796899860028337,0.08255308688385594
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.25,length,overall,18,0.08506402424849722,0.10243160630334164,0.062037399477948466
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.25,order,overall,24,0.05990820957880111,0.08412175168378476,0.06587347749351286
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.25,overinformativeness,overall,14,0.08580262190654898,0.10391026003349921,0.035466177168081106
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.25,selection,overall,24,0.056022274894317846,0.0698627316416329,0.08604133149916722
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.5,length,overall,18,0.0698374933131482,0.08385184920309598,0.04608808811968369
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.5,order,overall,24,0.06405932706594902,0.08567226389288007,0.06693753759258855
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.5,overinformativeness,overall,14,0.07665097612546655,0.09392747380430934,0.030688858099800785
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.5,selection,overall,24,0.0582773818074508,0.07331727814037667,0.09152847212985245
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.75,length,overall,18,0.06852419279151192,0.07888668268864886,0.041340520871329264
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.75,order,overall,24,0.06888976671003785,0.08880492482519492,0.06999779011498719
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.75,overinformativeness,overall,14,0.07940983279187429,0.09368725199686714,0.03191514468494061
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,0.75,selection,overall,24,0.06146820571556715,0.07771886929857127,0.09827344579319547
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,1.0,length,overall,18,0.07566218586531252,0.08699814251383069,0.04687328348243971
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,1.0,order,overall,24,0.07324366791926909,0.09290709697484771,0.0744032327103212
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,1.0,overinformativeness,overall,14,0.09162196957095478,0.10154980582116754,0.03847883526302613
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.25,1.0,selection,overall,24,0.06529698439796146,0.08253461725932079,0.1056215375829872
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.0,length,overall,18,0.1000314135166342,0.12157975475270547,0.08063769968214393
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.0,order,overall,24,0.05355036077111192,0.08370318770506728,0.06358508526147169
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.0,overinformativeness,overall,14,0.09878604341961598,0.12334611926823336,0.04836224979829718
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.0,selection,overall,24,0.05154171640760404,0.06599955536733142,0.07997487223912407
