bias,color_semvalue,gamma,k,sigma,steepness,wf
0.29102284,0.9402472,3.3176212,0.30511242,0.099999525,0.78903633,0.89638907
0.28941613,0.9398898,3.32272,0.3669954,0.099996746,0.5428704,0.92432326
0.30458802,0.9395651,3.3583338,0.29867625,0.09999942,0.7187917,0.914517
0.26198864,0.93904686,3.430213,0.33199495,0.09999992,0.6008873,0.9197134
0.2668114,0.93937445,3.4202309,0.3106902,0.099999785,0.6986412,0.91258675
0.2760241,0.9393333,3.32937,0.39107308,0.09999757,0.6347749,0.9366142
0.28516868,0.93958455,3.2726984,0.39699095,0.09999601,0.5109226,0.9379767
0.28541547,0.93999827,3.3410676,0.33089358,0.09999966,0.96839374,0.89102894
0.2962744,0.9396029,3.3422494,0.25926247,0.09999571,0.732794,0.91708535
0.29086933,0.9395519,3.532167,0.18263516,0.09999718,0.6848392,0.88035244
0.32329658,0.9406183,3.1798534,0.24529485,0.099996366,1.1981606,0.8935027
0.33872887,0.94066954,3.151023,0.2500133,0.09998789,1.0720153,0.9026386
0.29635113,0.9403361,3.351049,0.24543881,0.09999906,0.751145,0.8966624
0.34033984,0.9405465,3.2486215,0.21549085,0.09999932,0.77381164,0.8889634
0.3004187,0.9394852,3.2871718,0.3325787,0.09999645,0.7699181,0.92774254
0.3062369,0.94004387,3.3706598,0.18656713,0.09999752,0.8491968,0.88227063
0.30570465,0.939916,3.4167528,0.17200813,0.09999802,0.8440183,0.890297
0.28165352,0.94012797,3.453402,0.20877218,0.099999145,0.9381968,0.8687901
0.28473327,0.9391712,3.252903,0.37834817,0.09999549,1.2085277,0.9223029
0.28467366,0.9403235,3.3757725,0.24452588,0.09999981,0.78668964,0.8794358
0.3268917,0.93965644,3.1972907,0.468212,0.09999986,0.41071922,0.956009
0.25760633,0.9393835,3.5821476,0.20771515,0.09999918,0.917667,0.87888736
0.30690196,0.9395524,3.1950665,0.3911378,0.09999466,1.4476869,0.9245709
0.29168987,0.939576,3.3348143,0.31427044,0.099996045,1.0946395,0.9044962
0.26371488,0.93966824,3.4486473,0.26682425,0.099997394,1.0601236,0.88833106
0.30881804,0.94031334,3.208539,0.3134157,0.09999695,1.1808372,0.9036599
0.31114075,0.94007015,3.2268422,0.3776073,0.09999519,0.67101204,0.92249674
0.30299878,0.93983996,3.2677383,0.38139787,0.09999458,0.6112167,0.92828614
0.27539864,0.9395113,3.5165827,0.30244398,0.099995375,0.40213645,0.930498
0.28734854,0.93969476,3.362361,0.37590304,0.09999692,0.48725396,0.93199486
0.2867202,0.9394896,3.4476368,0.3292689,0.099997796,0.40442973,0.9265736
0.29449207,0.94014215,3.3305001,0.2654806,0.09999775,0.7602353,0.8889686
0.27615798,0.93940663,3.4796598,0.27483314,0.09999931,0.72203124,0.91016614
0.28013825,0.93947315,3.4511695,0.29248986,0.099999,0.6286965,0.91852385
0.27539006,0.93959934,3.386641,0.36120874,0.09999982,0.699942,0.9172109
0.2983369,0.93975365,3.3714066,0.30624828,0.099993184,0.6068066,0.9187697
0.2615562,0.9392669,3.4578643,0.33350652,0.09999918,0.64733684,0.91095585
0.3238305,0.94025725,3.2401836,0.27974713,0.099997096,0.74400806,0.9063691
0.28732312,0.939456,3.285778,0.35951355,0.09999859,1.5123742,0.91884464
0.290716,0.93945706,3.2800586,0.35009253,0.099998154,1.5517577,0.9159572
0.29483292,0.9395821,3.3127797,0.31089586,0.09999936,1.3488249,0.9123954
