relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,diff,label,condition
second,blurred,5,C,0.6278659611992945,0.5890652557319224,0.6684303350970018,567,0.3994144620811287,0.35802469135802467,0.43915343915343913,-0.2284514991181658,second | blurred | C,second | blurred
second,blurred,6,CD,0.0,0.0,0.0,567,0.016,0.007054673721340388,0.02821869488536155,0.016,second | blurred | CD,second | blurred
second,blurred,7,CDF,0.005291005291005291,0.0,0.012345679012345678,567,0.10784832451499117,0.08112874779541446,0.13672839506172835,0.10255731922398588,second | blurred | CDF,second | blurred
second,blurred,8,CF,0.26278659611992944,0.2257495590828924,0.2980599647266314,567,0.2363280423280423,0.19929453262786595,0.2707671957671957,-0.026458553791887135,second | blurred | CF,second | blurred
second,blurred,9,CFD,0.0,0.0,0.0,567,0.018948853615520282,0.008818342151675485,0.031746031746031744,0.018948853615520282,second | blurred | CFD,second | blurred
second,blurred,10,F,0.04409171075837742,0.02821869488536155,0.06172839506172839,567,0.015095446625172742,0.005291005291005291,0.026455026455026454,-0.02899626413320468,second | blurred | F,second | blurred
second,blurred,11,FD,0.0,0.0,0.0,567,0.014867724867724866,0.006128747795414464,0.024691358024691357,0.014867724867724866,second | blurred | FD,second | blurred
second,blurred,12,FDC,0.0,0.0,0.0,567,0.014867724867724866,0.005291005291005291,0.026455026455026454,0.014867724867724866,second | blurred | FDC,second | blurred
second,blurred,13,FC,0.019400352733686066,0.008818342151675485,0.031746031746031744,567,0.016835978835978836,0.007054673721340388,0.029982363315696647,-0.0025643738977072297,second | blurred | FC,second | blurred
second,blurred,14,FCD,0.0,0.0,0.0,567,0.014906525573192239,0.005291005291005291,0.025617283950617242,0.014906525573192239,second | blurred | FCD,second | blurred
second,sharp,0,D,0.0,0.0,0.0,504,0.019404761904761904,0.007936507936507936,0.03373015873015873,0.019404761904761904,second | sharp | D,second | sharp
second,sharp,1,DC,0.001984126984126984,0.0,0.005952380952380952,504,0.046496031746031743,0.02976190476190476,0.06349206349206349,0.04451190476190476,second | sharp | DC,second | sharp
second,sharp,2,DCF,0.001984126984126984,0.0,0.005952380952380952,504,0.04152777777777778,0.02475198412698413,0.061507936507936505,0.0395436507936508,second | sharp | DCF,second | sharp
second,sharp,3,DF,0.0,0.0,0.0,504,0.015825396825396826,0.005952380952380952,0.027777777777777776,0.015825396825396826,second | sharp | DF,second | sharp
second,sharp,4,DFC,0.005952380952380952,0.0,0.013888888888888888,504,0.01638888888888889,0.005952380952380952,0.027777777777777776,0.010436507936507938,second | sharp | DFC,second | sharp
