relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.012169611307420494,0.0035335689045936395,0.022968197879858657,both | blurred
first,sharp,4,DFC,0.021912350597609563,0.0099601593625498,0.03386454183266932,502,0.096,0.07171314741035857,0.11952191235059761,first | sharp
first,sharp,5,C,0.0,0.0,0.0,502,0.01754183266932271,0.00597609561752988,0.027888446215139442,first | sharp
first,sharp,6,CD,0.0,0.0,0.0,502,0.0031083718816011124,0.00199203187250996,0.007121513944223085,first | sharp
first,sharp,7,CDF,0.017928286852589643,0.00796812749003984,0.029880478087649404,502,0.03883665338645418,0.021912350597609563,0.055776892430278883,first | sharp
first,sharp,8,CF,0.09362549800796813,0.06772908366533864,0.1195717131474101,502,0.034127490039840634,0.0199203187250996,0.05084661354581669,first | sharp
first,sharp,9,CFD,0.00199203187250996,0.0,0.00597609561752988,502,0.008397305088588734,0.00199203187250996,0.017380478087649337,first | sharp
first,sharp,10,F,0.10159362549800798,0.07569721115537849,0.1294820717131474,502,0.03095617529880478,0.017928286852589643,0.045816733067729085,first | sharp
first,sharp,11,FD,0.00199203187250996,0.0,0.00597609561752988,502,0.0030682638573223883,0.00199203187250996,0.00597609561752988,first | sharp
first,sharp,12,FDC,0.0,0.0,0.0,502,0.00868993660983596,0.00199203187250996,0.017928286852589643,first | sharp
first,sharp,13,FC,0.0099601593625498,0.00199203187250996,0.0199203187250996,502,0.010476167618681899,0.00199203187250996,0.0199203187250996,first | sharp
first,sharp,14,FCD,0.0,0.0,0.0,502,0.0035396050207771065,0.00199203187250996,0.00796812749003984,first | sharp
second,blurred,0,D,0.0,0.0,0.0,567,0.00828281530035916,0.001763668430335097,0.017063492063492083,second | blurred
second,blurred,1,DC,0.0,0.0,0.0,567,0.04654320987654321,0.02821869488536155,0.06441798941798937,second | blurred
second,blurred,2,DCF,0.026455026455026454,0.014109347442680775,0.04056437389770723,567,0.05475485008818342,0.037037037037037035,0.07760141093474426,second | blurred
second,blurred,3,DF,0.0,0.0,0.0,567,0.007844428861831806,0.001763668430335097,0.015873015873015872,second | blurred
second,blurred,4,DFC,0.014109347442680775,0.005291005291005291,0.024691358024691357,567,0.004790917489330188,0.001763668430335097,0.012345679012345678,second | blurred
