variant,alpha,order_bias,usefulness_order_scale,signed_order_scale,planned_mixture_weight,observation_rmse,observation_mae,observation_correlation,observation_r2,condition_rmse,condition_mae,condition_abs_zrdc_residual,condition_abs_erdc_residual,condition_abs_brdc_residual,mechanism_count,free_parameter_count,description,grid_id,elpd_loo,elpd_loo_se,grid_pareto_frontier
planned_usefulness_mixture,4.0,1.5,0.0,,0.75,0.3728685204029633,0.2981275264272848,0.2861270196793394,0.08186867139058107,0.07579210821804615,0.06416840122512336,0.10580270470794302,0.020103328096232137,0.06659917087119495,5,5,convex mixture of greedy local and planned usefulness-order speakers,2185,,,False
planned_usefulness_mixture,2.0,1.0,0.0,,0.75,0.3728300505621065,0.3210082929002318,0.28735979829885494,0.08257565367835859,0.07622187083420875,0.0675044099541606,0.10261766253778462,0.0759244736800941,0.023971093644603078,5,5,convex mixture of greedy local and planned usefulness-order speakers,1195,,,False
planned_usefulness_mixture,3.0,1.5,2.0,,0.25,0.37334417472498194,0.3024584717993361,0.28620781536583484,0.08191491357648381,0.07651888551072962,0.06552945557952329,0.10932830912719216,0.04953382985202606,0.03772622775935166,5,5,convex mixture of greedy local and planned usefulness-order speakers,1745,,,False
planned_usefulness_mixture,1.0,0.75,8.0,,0.25,0.3729720314631924,0.33616752751253537,0.2852836171257383,0.08138674220034484,0.07667222483863152,0.06495128106041335,0.01636406345086568,0.0964649001356849,0.08202487959468946,5,5,convex mixture of greedy local and planned usefulness-order speakers,251,,,False
planned_usefulness_mixture,1.5,1.5,3.0,,0.5,0.3730540039009973,0.2970058867629821,0.28709824947170925,0.0824254048497198,0.07680542950438711,0.06629949541031634,0.10510369954778201,0.024062620154240575,0.06973216652892643,5,5,convex mixture of greedy local and planned usefulness-order speakers,828,,,False
planned_usefulness_mixture,1.0,0.75,6.0,,0.25,0.37299926548351925,0.33643911590828796,0.28690001080234867,0.08231161619838778,0.07706808807926344,0.06503525217347463,0.01636406345086568,0.10165161217916716,0.07709008089039102,5,5,convex mixture of greedy local and planned usefulness-order speakers,245,,,False
planned_usefulness_mixture,1.0,0.75,6.0,,0.5,0.3731600658005228,0.33595401972772454,0.2852850139460402,0.08138753918219237,0.0773212429651898,0.06865156967888665,0.02853083350013392,0.09198721996719636,0.08543665556932972,5,5,convex mixture of greedy local and planned usefulness-order speakers,246,,,False
planned_usefulness_mixture,3.0,1.0,4.0,,0.75,0.3735310692486985,0.3242413907259345,0.28761104080736216,0.08272011079429414,0.07747211075771526,0.06445815940723702,0.11641628640825963,0.036002683318439456,0.04095550849501198,5,5,convex mixture of greedy local and planned usefulness-order speakers,1693,,,False
planned_usefulness_mixture,1.0,0.75,8.0,,0.5,0.37332658205200503,0.33546526881643474,0.2807577241536461,0.07882489967193483,0.0775707828593077,0.068483627452764,0.02853083350013392,0.08161379588023197,0.09530625297792611,5,5,convex mixture of greedy local and planned usefulness-order speakers,252,,,False
planned_usefulness_mixture,1.0,0.75,4.0,,0.25,0.3731129002628158,0.3367974710367319,0.2877946243270379,0.08282574579154087,0.07787663175144448,0.0652614185197667,0.01636406345086568,0.1071653304946732,0.07225486161376121,5,5,convex mixture of greedy local and planned usefulness-order speakers,239,,,False
